Driver ID,Duration
aitken,25.2755
albon,24.769481481481485
bottas,24.703238095238095
gasly,24.64095238095238
giovinazzi,24.488684210526316
grosjean,26.752625
hamilton,25.03515789473684
hulkenberg,25.688250000000004
kevin_magnussen,27.163777777777778
kvyat,25.851000000000003
latifi,25.677590909090906
leclerc,25.46895238095238
max_verstappen,24.633150000000004
norris,25.474280000000004
ocon,24.974235294117648
perez,24.390444444444444
pietro_fittipaldi,26.424199999999995
raikkonen,27.093041666666664
ricciardo,24.6406
russell,25.194299999999995
sainz,25.785666666666664
stroll,27.282882352941176
vettel,26.089285714285715
