Driver ID,Duration
albon,24.058857142857143
alonso,24.00375
bottas,25.28908
de_vries,24.628
gasly,25.396531250000002
hamilton,24.732038461538462
hulkenberg,24.395
kevin_magnussen,26.821464285714285
latifi,25.743648648648648
leclerc,24.55796774193549
max_verstappen,24.960914285714285
mick_schumacher,26.467258064516123
norris,24.992785714285713
ocon,24.620680000000004
perez,23.885322580645163
ricciardo,24.644000000000002
russell,25.410031250000003
sainz,25.461240000000004
stroll,24.217172413793108
tsunoda,24.955032258064517
vettel,24.390809523809523
zhou,25.791
