Driver ID,Duration
alonso,26.086652173913052
bottas,24.358592592592593
brendon_hartley,24.598708333333335
ericsson,26.16591304347826
gasly,24.13864
grosjean,24.646384615384616
hamilton,23.008192307692305
hulkenberg,24.480349999999998
kevin_magnussen,25.62488461538462
leclerc,24.887958333333334
max_verstappen,23.535192307692306
ocon,25.4725652173913
perez,24.94431034482758
raikkonen,25.381260869565214
ricciardo,24.094549999999998
sainz,24.37928571428571
sirotkin,24.775793103448276
stroll,25.04028125
vandoorne,25.34536666666667
vettel,24.36355172413793
