Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,raceID,year
0 days 01:00:46.617934426,23.477868852459014,70.4532786885246,1015.3344262295083,0.0,41.31311475409837,155.327868852459,1.166393442622951,1,2019
0 days 01:04:52.160573643,26.210852713178294,53.372093023255815,1003.4372093023255,0.0,28.610852713178296,60.72093023255814,2.7108527131782947,2,2019
0 days 01:03:37.041299212,19.32992125984252,45.98110236220473,1019.2181102362205,0.0,27.33700787401575,93.80314960629921,3.3157480314960632,3,2019
0 days 01:04:46.987325581,19.76356589147287,51.40852713178294,1013.7751937984497,0.0,39.65426356589147,167.48062015503876,1.2496124031007751,4,2019
0 days 01:05:45.145204545,20.147727272727273,54.724242424242426,1006.7916666666666,0.0,40.72727272727273,153.82575757575756,1.9295454545454545,5,2019
0 days 01:10:01.359726618,22.754676258992802,52.697841726618705,1010.9107913669066,0.6258992805755396,32.72949640287769,130.84172661870502,0.9035971223021583,6,2019
0 days 01:02:41.970936507,29.368253968253967,16.14761904761905,1022.1111111111112,0.0,51.098412698412695,224.3095238095238,1.3087301587301585,7,2019
0 days 01:00:19.200694214,26.89421487603306,39.09090909090909,966.7239669421491,0.0,54.525619834710746,97.66115702479338,1.6785123966942148,8,2019
0 days 00:58:41.640957627,34.44406779661016,17.965254237288136,940.8889830508475,0.0,50.74406779661018,188.85593220338984,1.225423728813559,9,2019
0 days 00:58:53.930203389,18.905084745762718,62.135593220338976,1006.3330508474575,0.0,30.32203389830509,64.38983050847457,2.011864406779661,10,2019
0 days 01:13:39.102319727,21.503401360544217,87.83061224489796,991.6278911564625,0.9659863945578231,26.441496598639453,185.4625850340136,1.006122448979592,11,2019
0 days 01:05:02.127807692,25.66,33.893076923076926,986.4846153846154,0.0,44.096923076923076,192.77692307692308,1.1938461538461538,12,2019
0 days 01:00:00.193933333,17.4,57.03,968.2574999999999,0.0,28.119166666666665,154.29166666666666,2.0358333333333336,13,2019
0 days 00:55:33.938279279,21.0972972972973,51.574774774774774,989.2405405405406,0.0,33.04054054054055,221.07207207207207,1.5666666666666667,14,2019
0 days 01:17:11.795858064,29.965161290322584,66.45548387096774,1010.941935483871,0.0,35.752903225806456,166.88387096774193,1.8574193548387095,15,2019
0 days 01:05:32.595931297,22.02977099236641,67.41526717557252,1016.7824427480916,0.007633587786259542,34.33206106870229,255.18320610687022,1.8740458015267176,16,2019
0 days 01:02:05.595096774,21.619354838709675,57.47822580645161,1009.141935483871,0.0,32.18387096774193,286.991935483871,5.468548387096775,17,2019
0 days 01:06:03.533128787,23.203030303030303,46.28787878787879,780.509090909091,0.0,41.633333333333326,150.46969696969697,1.3265151515151512,18,2019
0 days 01:05:24.496496183,21.475572519083972,29.242748091603048,1001.4763358778628,0.0,29.081679389312974,183.5267175572519,2.553435114503817,19,2019
0 days 01:05:58.396427480,21.016793893129773,60.289312977099236,924.7916030534351,0.0,46.45343511450381,149.05343511450383,1.2877862595419847,20,2019
0 days 01:06:46.487676691,26.018045112781955,64.47142857142858,1015.3834586466165,0.0,29.566165413533835,221.09774436090225,1.2646616541353384,21,2019
