raceID,year,EventName,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1,2018,Australian,Melbourne,24.077477477477483,30.91531531531532,997.0036036036036,False,36.324324324324316,294.1261261261261,3.6918918918918915
2,2018,Bahrain,Sakhir,27.982524271844653,47.36310679611651,1009.4941747572815,False,32.19805825242719,167.40776699029126,0.9582524271844662
3,2018,Chinese,Shanghai,19.446428571428573,24.089285714285715,1018.1312500000001,False,37.01964285714286,127.39285714285714,1.8375000000000001
4,2018,Azerbaijan,Baku,16.66140350877193,45.651754385964914,1021.9131578947369,False,25.25175438596491,123.78947368421052,2.2228070175438597
5,2018,Spanish,Barcelona,16.050476190476193,52.28666666666667,1001.5419047619047,True,32.33904761904761,98.6952380952381,1.9523809523809523
6,2018,Monaco,Monte Carlo,26.640707964601766,50.892920353982305,1015.2106194690267,False,34.60973451327434,182.50442477876106,1.382300884955752
7,2018,Canadian,Montréal,20.52358490566038,27.82547169811321,1017.5150943396227,False,36.94905660377359,144.80188679245282,2.471698113207547
8,2018,French,Le Castellet,24.546078431372553,49.049019607843135,966.2598039215685,False,42.03333333333334,118.40196078431373,1.8156862745098041
9,2018,Austrian,Spielberg,23.176086956521743,37.141304347826086,936.1097826086957,False,45.87934782608695,60.141304347826086,2.4847826086956526
10,2018,British,Silverstone,27.43163265306122,38.73979591836735,1008.3040816326529,False,52.16938775510204,109.53061224489795,1.4612244897959183
11,2018,German,Hockenheim,26.40192307692308,54.80769230769231,1001.3999999999999,False,40.66826923076923,190.84615384615384,2.0086538461538463
12,2018,Hungarian,Budapest,33.75887850467289,33.00654205607477,983.5271028037382,False,51.08971962616822,201.09345794392524,1.1429906542056074
13,2018,Belgian,Spa-Francorchamps,17.327358490566038,37.700943396226414,966.9103773584906,False,27.89811320754717,161.88679245283018,2.039622641509434
14,2018,Italian,Monza,22.189898989898992,63.8070707070707,995.219191919192,False,30.822222222222223,185.5252525252525,2.1242424242424245
15,2018,Singapore,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,False,33.12406015037594,177.57142857142858,1.978947368421053
16,2018,Russian,Sochi,24.778181818181817,61.30818181818182,1016.5336363636363,False,29.945454545454545,129.11818181818182,1.997272727272727
17,2018,Japanese,Suzuka,28.26481481481482,50.51574074074074,1008.1925925925926,False,37.17037037037037,315.962962962963,1.7916666666666667
18,2018,United States,Austin,21.93358778625954,37.555725190839695,1005.9,False,30.486259541984733,130.1908396946565,2.0908396946564882
19,2018,Mexican,Mexico City,20.1231884057971,50.70942028985507,784.1927536231884,False,34.47028985507246,242.97101449275362,1.5594202898550724
20,2018,Brazilian,São Paulo,23.7696,75.4128,923.9295999999999,False,40.0688,158.16,2.1872000000000003
21,2018,Abu Dhabi,Yas Marina,31.273722627737225,45.43795620437956,1013.1116788321167,False,33.31824817518248,241.17518248175182,2.1635036496350364
