Round,Driver ID,Mean,StdDev,Year
8,max_verstappen,24.395,0.0,2018
8,raikkonen,24.289,0.0,2018
8,ricciardo,24.309,0.0,2018
8,sainz,25.423,0.0,2018
8,sirotkin,26.273,0.0,2018
8,stroll,26.576,0.0,2018
8,vandoorne,24.399,0.0,2018
8,vettel,31.820500000000003,1.1193500346183074,2018
9,alonso,21.588,0.0,2018
9,ericsson,21.519,0.0,2018
9,gasly,22.011,0.0,2018
9,grosjean,22.121,0.0,2018
9,hamilton,21.1125,0.18738329701443548,2018
9,kevin_magnussen,22.138,0.0,2018
9,leclerc,21.364,0.0,2018
9,max_verstappen,21.214,0.0,2018
9,ocon,22.527,0.0,2018
9,perez,22.863,0.0,2018
9,raikkonen,21.552,0.0,2018
9,ricciardo,21.6045,0.48861078579990486,2018
9,sainz,24.796,2.176474672492194,2018
9,sirotkin,23.966,1.2982480502585014,2018
9,stroll,22.240000000000002,0.08343860018001033,2018
9,vandoorne,34.5415,16.992483058693924,2018
9,vettel,23.912,0.0,2018
10,alonso,28.377000000000002,0.41295036021294473,2018
10,bottas,27.894,0.0,2018
10,ericsson,28.207,0.0,2018
10,gasly,29.220999999999997,0.7707463914933379,2018
10,grosjean,29.254,0.0,2018
10,hamilton,28.982,0.0,2018
10,hulkenberg,28.719,0.0,2018
10,kevin_magnussen,28.45,0.0,2018
10,leclerc,27.865,0.0,2018
10,max_verstappen,28.229,0.3238549057834376,2018
10,ocon,29.41,0.0,2018
10,perez,28.743499999999997,0.13081475451951163,2018
10,raikkonen,33.778999999999996,6.779739818016616,2018
10,ricciardo,28.0975,0.13647160876900213,2018
10,sainz,28.576,0.704278354061803,2018
10,sirotkin,28.224,0.0,2018
10,stroll,27.774,0.0,2018
10,vandoorne,28.471,0.26445793616377045,2018
10,vettel,28.4255,0.35567471093683345,2018
11,alonso,20.334,1.1972380715630446,2018
11,bottas,26.2335,9.963841653699646,2018
11,brendon_hartley,19.309,0.0,2018
11,ericsson,18.84,0.0,2018
11,gasly,19.659,0.20788939366884404,2018
11,grosjean,20.198,0.0,2018
11,hamilton,18.978,0.0,2018
11,hulkenberg,20.168,0.825900720425887,2018
11,kevin_magnussen,19.818,0.0,2018
11,leclerc,20.37333333333333,0.9963846312209624,2018
11,max_verstappen,19.375333333333334,0.33445228857541653,2018
11,ocon,19.57,0.0,2018
11,perez,25.13,0.0,2018
11,raikkonen,19.647,0.0,2018
11,sainz,19.8985,0.36981684656056285,2018
11,sirotkin,24.173,0.0,2018
11,stroll,19.500999999999998,0.03535533905932913,2018
11,vandoorne,19.778,0.0,2018
11,vettel,18.657,0.0,2018
12,alonso,21.795,0.0,2018
12,bottas,21.337,0.0,2018
12,brendon_hartley,21.831,0.0,2018
12,ericsson,22.64,0.0,2018
12,gasly,21.684,0.0,2018
12,grosjean,21.733,0.0,2018
12,hamilton,21.48,0.0,2018
12,hulkenberg,22.308,0.48366103833159674,2018
12,kevin_magnussen,25.126,0.0,2018
12,ocon,22.258,0.0,2018
12,perez,22.561,0.0,2018
12,raikkonen,23.15,1.8681761158948569,2018
12,ricciardo,21.364,0.0,2018
12,sainz,21.914,0.0,2018
12,sirotkin,21.509,0.0,2018
12,stroll,21.291,0.0,2018
12,vandoorne,21.732,0.0,2018
12,vettel,23.111,0.0,2018
13,bottas,25.433999999999997,7.191275964667188,2018
13,brendon_hartley,18.084,0.0,2018
13,ericsson,19.711,0.0,2018
13,gasly,21.5445,1.9919198026025045,2018
13,grosjean,21.764000000000003,2.0986929265616716,2018
13,hamilton,20.8735,2.1234416639032023,2018
13,kevin_magnussen,22.1625,3.02853834382198,2018
13,max_verstappen,21.1415,1.6963491680665281,2018
13,ocon,21.4035,2.5759900038625934,2018
13,perez,21.412,2.467802666341051,2018
13,raikkonen,30.909,6.423358000298599,2018
13,sainz,21.183,3.7816070657856553,2018
13,sirotkin,21.064999999999998,1.801708078463323,2018
13,stroll,21.316499999999998,2.2408213895801707,2018
13,vandoorne,21.2765,2.0216182874123394,2018
13,vettel,20.9175,1.888682212549268,2018
14,bottas,23.763,0.0,2018
14,ericsson,27.7835,3.1232906525009816,2018
14,gasly,27.792,0.0,2018
14,grosjean,24.779,0.0,2018
14,hamilton,23.728,0.0,2018
14,hulkenberg,24.845,0.5501290757631343,2018
14,kevin_magnussen,38.563,0.0,2018
14,leclerc,24.084,0.0,2018
14,max_verstappen,24.003,0.0,2018
14,ocon,24.826999999999998,0.0,2018
14,perez,25.655,0.0,2018
14,raikkonen,23.862,0.0,2018
14,ricciardo,24.805,0.0,2018
14,sainz,25.774,0.0,2018
14,sirotkin,25.245,0.0,2018
14,stroll,26.44,0.0,2018
14,vandoorne,24.094,0.0,2018
14,vettel,28.259999999999998,5.598871493435084,2018
15,alonso,29.922,0.0,2018
15,bottas,28.542,0.0,2018
15,brendon_hartley,29.688,0.31678383797157356,2018
15,ericsson,28.86,0.0,2018
15,gasly,28.931,0.0,2018
15,grosjean,29.517,0.0,2018
15,hamilton,28.946,0.0,2018
15,hulkenberg,31.183,0.0,2018
15,kevin_magnussen,29.814333333333334,0.7776710958582238,2018
15,leclerc,29.31,0.0,2018
15,max_verstappen,29.681,0.0,2018
