Driver ID,Duration
albon,26.08867857142857
alonso,25.0687
bottas,26.539562500000002
de_vries,23.227153846153847
gasly,24.407066666666665
hamilton,23.570344827586204
hulkenberg,26.204749999999997
kevin_magnussen,24.871645161290324
lawson,28.79111111111111
leclerc,24.4936
max_verstappen,23.10630769230769
norris,25.1605
ocon,24.1774
perez,24.263482758620693
piastri,24.60290476190476
ricciardo,22.48188888888889
russell,23.99146428571428
sainz,22.678583333333336
sargeant,26.10925806451613
stroll,23.225192307692307
tsunoda,24.466344827586212
zhou,25.13116666666666
