Driver ID,Duration
albon,25.653296296296297
bottas,24.2198
gasly,24.82168181818182
giovinazzi,26.55675
grosjean,26.166478260869564
hamilton,24.07203571428571
hulkenberg,24.57137931034483
kevin_magnussen,24.156129032258058
kubica,25.053058823529412
kvyat,25.767838709677424
leclerc,24.533645161290327
max_verstappen,24.12146428571429
norris,25.789680000000004
perez,25.678384615384623
raikkonen,25.863699999999994
ricciardo,25.68476
russell,24.801115384615386
sainz,27.670956521739132
stroll,25.511806451612905
vettel,25.11064516129032
