Driver ID,Duration
alonso,24.330826086956524
bottas,24.64933333333333
gasly,25.47336
giovinazzi,26.054142857142853
hamilton,23.495968750000003
kubica,22.1045
latifi,24.854960000000002
leclerc,23.41956
max_verstappen,23.709133333333334
mazepin,25.297777777777778
mick_schumacher,26.708318181818186
norris,24.581296296296294
ocon,26.62159090909091
perez,23.591966666666668
raikkonen,25.23125
ricciardo,25.358
russell,26.02510714285714
sainz,25.05591304347826
stroll,25.45112
tsunoda,25.218999999999998
vettel,24.664172413793104
