Round,Race Name,Circuit Name,Locality,Country,Date,Time
1,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2018-03-25,05:10:00Z
2,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2018-04-08,15:10:00Z
3,Chinese Grand Prix,Shanghai International Circuit,Shanghai,China,2018-04-15,06:10:00Z
4,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,2018-04-29,12:10:00Z
5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,2018-05-13,13:10:00Z
6,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,2018-05-27,13:10:00Z
7,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,2018-06-10,18:10:00Z
8,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,2018-06-24,14:10:00Z
9,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2018-07-01,13:10:00Z
10,British Grand Prix,Silverstone Circuit,Silverstone,UK,2018-07-08,13:10:00Z
11,German Grand Prix,Hockenheimring,Hockenheim,Germany,2018-07-22,13:10:00Z
12,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2018-07-29,13:10:00Z
13,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2018-08-26,13:10:00Z
14,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2018-09-02,13:10:00Z
15,Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,2018-09-16,12:10:00Z
16,Russian Grand Prix,Sochi Autodrom,Sochi,Russia,2018-09-30,11:10:00Z
17,Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,2018-10-07,05:10:00Z
18,United States Grand Prix,Circuit of the Americas,Austin,USA,2018-10-21,18:10:00Z
19,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2018-10-28,19:10:00Z
20,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2018-11-11,17:10:00Z
21,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2018-11-25,13:10:00Z
