Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph)
1,1,Bottas,Valtteri,Mercedes,25,1:07.657,229.758
1,2,Leclerc,Charles,Ferrari,18,1:07.901,228.933
1,3,Norris,Lando,McLaren,16,1:07.475,230.378
1,4,Hamilton,Lewis,Mercedes,12,1:07.712,229.572
1,5,Sainz,Carlos,McLaren,10,1:07.974,228.687
1,6,Pérez,Sergio,Racing Point,8,1:08.305,227.579
1,7,Gasly,Pierre,AlphaTauri,6,1:09.025,225.205
1,8,Ocon,Esteban,Renault,4,1:08.932,225.509
1,9,Giovinazzi,Antonio,Alfa Romeo,2,1:08.796,225.954
1,10,Vettel,Sebastian,Ferrari,1,1:08.623,226.524
1,11,Latifi,Nicholas,Williams,0,1:09.662,223.146
1,12,Kvyat,Daniil,AlphaTauri,0,1:09.135,224.847
1,13,Albon,Alexander,Red Bull,0,1:08.432,227.156
1,14,Räikkönen,Kimi,Alfa Romeo,0,1:09.031,225.185
1,15,Russell,George,Williams,0,1:09.317,224.256
1,16,Grosjean,Romain,Haas F1 Team,0,1:10.228,221.347
1,17,Magnussen,Kevin,Haas F1 Team,0,1:10.720,219.807
1,18,Stroll,Lance,Racing Point,0,1:10.326,221.039
1,19,Ricciardo,Daniel,Renault,0,1:10.610,220.150
1,20,Verstappen,Max,Red Bull,0,1:09.351,224.146
2,1,Hamilton,Lewis,Mercedes,25,1:06.719,232.989
2,2,Bottas,Valtteri,Mercedes,18,1:07.534,230.177
2,3,Verstappen,Max,Red Bull,15,1:06.145,235.010
2,4,Albon,Alexander,Red Bull,12,1:07.299,230.981
2,5,Norris,Lando,McLaren,10,1:07.193,231.345
2,6,Pérez,Sergio,Racing Point,8,1:07.188,231.362
2,7,Stroll,Lance,Racing Point,6,1:07.833,229.162
2,8,Ricciardo,Daniel,Renault,4,1:07.832,229.166
2,9,Sainz,Carlos,McLaren,3,1:05.619,236.894
2,10,Kvyat,Daniil,AlphaTauri,1,1:08.378,227.336
2,11,Räikkönen,Kimi,Alfa Romeo,0,1:08.382,227.322
