Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code
1,1,Bottas,Valtteri,Mercedes,25,1:07.657,229.758,Finished,BOT
1,2,Leclerc,Charles,Ferrari,18,1:07.901,228.933,Finished,LEC
1,3,Norris,Lando,McLaren,16,1:07.475,230.378,Finished,NOR
1,4,Hamilton,Lewis,Mercedes,12,1:07.712,229.572,Finished,HAM
1,5,Sainz,Carlos,McLaren,10,1:07.974,228.687,Finished,SAI
1,6,Pérez,Sergio,Racing Point,8,1:08.305,227.579,Finished,PER
1,7,Gasly,Pierre,AlphaTauri,6,1:09.025,225.205,Finished,GAS
1,8,Ocon,Esteban,Renault,4,1:08.932,225.509,Finished,OCO
1,9,Giovinazzi,Antonio,Alfa Romeo,2,1:08.796,225.954,Finished,GIO
1,10,Vettel,Sebastian,Ferrari,1,1:08.623,226.524,Finished,VET
1,11,Latifi,Nicholas,Williams,0,1:09.662,223.146,Finished,LAT
1,12,Kvyat,Daniil,AlphaTauri,0,1:09.135,224.847,Suspension,KVY
1,13,Albon,Alexander,Red Bull,0,1:08.432,227.156,Electronics,ALB
1,14,Räikkönen,Kimi,Alfa Romeo,0,1:09.031,225.185,Wheel,RAI
1,15,Russell,George,Williams,0,1:09.317,224.256,Fuel pressure,RUS
1,16,Grosjean,Romain,Haas F1 Team,0,1:10.228,221.347,Brakes,GRO
1,17,Magnussen,Kevin,Haas F1 Team,0,1:10.720,219.807,Brakes,MAG
1,18,Stroll,Lance,Racing Point,0,1:10.326,221.039,Engine,STR
1,19,Ricciardo,Daniel,Renault,0,1:10.610,220.150,Overheating,RIC
1,20,Verstappen,Max,Red Bull,0,1:09.351,224.146,Electronics,VER
2,1,Hamilton,Lewis,Mercedes,25,1:06.719,232.989,Finished,HAM
2,2,Bottas,Valtteri,Mercedes,18,1:07.534,230.177,Finished,BOT
2,3,Verstappen,Max,Red Bull,15,1:06.145,235.010,Finished,VER
2,4,Albon,Alexander,Red Bull,12,1:07.299,230.981,Finished,ALB
2,5,Norris,Lando,McLaren,10,1:07.193,231.345,Finished,NOR
2,6,Pérez,Sergio,Racing Point,8,1:07.188,231.362,Finished,PER
2,7,Stroll,Lance,Racing Point,6,1:07.833,229.162,Finished,STR
2,8,Ricciardo,Daniel,Renault,4,1:07.832,229.166,Finished,RIC
2,9,Sainz,Carlos,McLaren,3,1:05.619,236.894,+1 Lap,SAI
2,10,Kvyat,Daniil,AlphaTauri,1,1:08.378,227.336,+1 Lap,KVY
2,11,Räikkönen,Kimi,Alfa Romeo,0,1:08.382,227.322,+1 Lap,RAI
2,12,Magnussen,Kevin,Haas F1 Team,0,1:08.009,228.569,+1 Lap,MAG
2,13,Grosjean,Romain,Haas F1 Team,0,1:08.047,228.442,+1 Lap,GRO
2,14,Giovinazzi,Antonio,Alfa Romeo,0,1:08.512,226.891,+1 Lap,GIO
2,15,Gasly,Pierre,AlphaTauri,0,1:07.827,229.183,+1 Lap,GAS
2,16,Russell,George,Williams,0,1:08.601,226.597,+2 Laps,RUS
2,17,Latifi,Nicholas,Williams,0,1:08.806,225.922,+2 Laps,LAT
2,18,Ocon,Esteban,Renault,0,1:09.321,224.243,Overheating,OCO
2,19,Leclerc,Charles,Ferrari,0,1:35.379,162.979,Collision damage,LEC
2,20,Vettel,Sebastian,Ferrari,0,,,Collision damage,VET
3,1,Hamilton,Lewis,Mercedes,26,1:16.627,205.823,Finished,HAM
3,2,Verstappen,Max,Red Bull,18,1:19.184,199.176,Finished,VER
3,3,Bottas,Valtteri,Mercedes,15,1:17.665,203.072,Finished,BOT
3,4,Stroll,Lance,Racing Point,12,1:18.973,199.708,Finished,STR
3,5,Albon,Alexander,Red Bull,10,1:19.440,198.534,Finished,ALB
3,6,Vettel,Sebastian,Ferrari,8,1:20.363,196.254,+1 Lap,VET
3,7,Pérez,Sergio,Racing Point,6,1:20.090,196.923,+1 Lap,PER
3,8,Ricciardo,Daniel,Renault,4,1:19.532,198.305,+1 Lap,RIC
3,9,Sainz,Carlos,McLaren,2,1:20.477,195.976,+1 Lap,SAI
3,10,Magnussen,Kevin,Haas F1 Team,1,1:19.457,198.492,+1 Lap,MAG
3,11,Leclerc,Charles,Ferrari,0,1:20.821,195.142,+1 Lap,LEC
3,12,Kvyat,Daniil,AlphaTauri,0,1:20.946,194.841,+1 Lap,KVY
3,13,Norris,Lando,McLaren,0,1:19.945,197.280,+1 Lap,NOR
