Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
1,2013,1,raikkonen,Räikkönen,Kimi,Lotus F1,lotus_f1,25,Finished,1:29.274,213.845,2376.0,1,40.0
1,2013,2,alonso,Alonso,Fernando,Ferrari,ferrari,18,Finished,1:29.560,213.162,3231.0,0,62.0
1,2013,3,vettel,Vettel,Sebastian,Red Bull,red_bull,15,Finished,1:30.409,211.160,3494.0,0,73.0
1,2013,4,massa,Massa,Felipe,Ferrari,ferrari,12,Finished,1:30.239,211.558,716.0,0,11.0
1,2013,5,hamilton,Hamilton,Lewis,Mercedes,mercedes,10,Finished,1:29.759,212.689,3533.0,0,83.0
1,2013,6,webber,Webber,Mark,Red Bull,red_bull,8,Finished,1:29.732,212.753,856.5,0,9.0
1,2013,7,sutil,Sutil,Adrian,Force India,force_india,6,Finished,1:30.710,210.459,101.0,0,0.0
1,2013,8,resta,di Resta,Paul,Force India,force_india,4,Finished,1:30.894,210.033,77.0,0,0.0
1,2013,9,button,Button,Jenson,McLaren,mclaren,2,Finished,1:30.198,211.654,1001.0,0,15.0
1,2013,10,grosjean,Grosjean,Romain,Lotus F1,lotus_f1,1,Finished,1:30.395,211.193,441.0,0,0.0
1,2013,11,perez,Pérez,Sergio,McLaren,mclaren,0,Finished,1:29.926,212.294,547.0,0,0.0
1,2013,12,vergne,Vergne,Jean-Éric,Toro Rosso,toro_rosso,0,Finished,1:29.498,213.309,16.0,0,0.0
1,2013,13,gutierrez,Gutiérrez,Esteban,Sauber,sauber,0,+1 Lap,1:31.415,208.836,0.0,0,0.0
1,2013,14,bottas,Bottas,Valtteri,Williams,williams,0,+1 Lap,1:30.652,210.594,716.0,0,3.0
1,2013,15,jules_bianchi,Bianchi,Jules,Marussia,marussia,0,+1 Lap,1:30.454,211.055,0.0,0,0.0
1,2013,16,pic,Pic,Charles,Caterham,caterham,0,+2 Laps,1:32.261,206.921,0.0,0,0.0
1,2013,17,chilton,Chilton,Max,Marussia,marussia,0,+2 Laps,1:32.210,207.036,0.0,0,0.0
1,2013,18,garde,van der Garde,Giedo,Caterham,caterham,0,+2 Laps,1:32.636,206.084,0.0,0,0.0
1,2013,19,ricciardo,Ricciardo,Daniel,Toro Rosso,toro_rosso,0,Hydraulics,1:30.881,210.063,826.0,0,5.0
1,2013,20,rosberg,Rosberg,Nico,Mercedes,mercedes,0,Electrical,1:32.259,206.926,399.5,0,1.0
1,2013,21,maldonado,Maldonado,Pastor,Williams,williams,0,Spun off,1:32.915,205.465,46.0,0,1.0
1,2013,22,hulkenberg,Hülkenberg,Nico,Sauber,sauber,0,Fuel system,,,490.0,0,0.0
2,2013,1,vettel,Vettel,Sebastian,Red Bull,red_bull,25,Finished,1:40.446,198.661,3519.0,1,74.0
2,2013,2,webber,Webber,Mark,Red Bull,red_bull,18,Finished,1:40.685,198.190,874.5,0,9.0
2,2013,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,15,Finished,1:41.001,197.570,3548.0,0,83.0
2,2013,4,rosberg,Rosberg,Nico,Mercedes,mercedes,12,Finished,1:40.755,198.052,411.5,0,1.0
2,2013,5,massa,Massa,Felipe,Ferrari,ferrari,10,Finished,1:39.805,199.937,726.0,0,11.0
2,2013,6,grosjean,Grosjean,Romain,Lotus F1,lotus_f1,8,Finished,1:41.226,197.131,449.0,0,0.0
2,2013,7,raikkonen,Räikkönen,Kimi,Lotus F1,lotus_f1,6,Finished,1:41.769,196.079,2382.0,0,40.0
2,2013,8,hulkenberg,Hülkenberg,Nico,Sauber,sauber,4,Finished,1:40.727,198.107,494.0,0,0.0
2,2013,9,perez,Pérez,Sergio,McLaren,mclaren,2,Finished,1:39.199,201.159,549.0,0,0.0
2,2013,10,vergne,Vergne,Jean-Éric,Toro Rosso,toro_rosso,1,Finished,1:40.492,198.571,17.0,0,0.0
2,2013,11,bottas,Bottas,Valtteri,Williams,williams,0,Finished,1:41.373,196.845,716.0,0,3.0
2,2013,12,gutierrez,Gutiérrez,Esteban,Sauber,sauber,0,+1 Lap,1:40.929,197.711,0.0,0,0.0
2,2013,13,jules_bianchi,Bianchi,Jules,Marussia,marussia,0,+1 Lap,1:42.423,194.827,0.0,0,0.0
2,2013,14,pic,Pic,Charles,Caterham,caterham,0,+1 Lap,1:42.942,193.845,0.0,0,0.0
2,2013,15,garde,van der Garde,Giedo,Caterham,caterham,0,+1 Lap,1:43.157,193.441,0.0,0,0.0
2,2013,16,chilton,Chilton,Max,Marussia,marussia,0,+2 Laps,1:43.150,193.454,0.0,0,0.0
2,2013,17,button,Button,Jenson,McLaren,mclaren,0,Withdrew,1:40.556,198.444,1001.0,0,15.0
2,2013,18,ricciardo,Ricciardo,Daniel,Toro Rosso,toro_rosso,0,Retired,1:42.581,194.527,826.0,0,5.0
2,2013,19,maldonado,Maldonado,Pastor,Williams,williams,0,Retired,1:43.465,192.865,46.0,0,1.0
2,2013,20,sutil,Sutil,Adrian,Force India,force_india,0,Wheel nut,1:42.791,194.129,101.0,0,0.0
2,2013,21,resta,di Resta,Paul,Force India,force_india,0,Wheel nut,1:43.094,193.559,77.0,0,0.0
2,2013,22,alonso,Alonso,Fernando,Ferrari,ferrari,0,Collision,,,3231.0,0,62.0
3,2013,1,alonso,Alonso,Fernando,Ferrari,ferrari,25,Finished,1:39.506,197.210,3256.0,1,63.0
3,2013,2,raikkonen,Räikkönen,Kimi,Lotus F1,lotus_f1,18,Finished,1:39.955,196.324,2400.0,0,40.0
3,2013,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,15,Finished,1:39.981,196.273,3563.0,0,83.0
3,2013,4,vettel,Vettel,Sebastian,Red Bull,red_bull,12,Finished,1:36.808,202.706,3531.0,0,74.0
3,2013,5,button,Button,Jenson,McLaren,mclaren,10,Finished,1:38.058,200.122,1011.0,0,15.0
3,2013,6,massa,Massa,Felipe,Ferrari,ferrari,8,Finished,1:40.284,195.680,734.0,0,11.0
3,2013,7,ricciardo,Ricciardo,Daniel,Toro Rosso,toro_rosso,6,Finished,1:40.240,195.766,832.0,0,5.0
3,2013,8,resta,di Resta,Paul,Force India,force_india,4,Finished,1:40.101,196.038,81.0,0,0.0
