Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph)
8,1,Hamilton,Lewis,Mercedes,25,1:32.764,226.717
8,2,Bottas,Valtteri,Mercedes,18,1:33.586,224.725
8,3,Leclerc,Charles,Ferrari,15,1:33.828,224.146
8,4,Verstappen,Max,Red Bull,12,1:34.162,223.351
8,5,Vettel,Sebastian,Ferrari,11,1:32.740,226.775
8,6,Sainz,Carlos,McLaren,8,1:34.561,222.408
8,7,Räikkönen,Kimi,Alfa Romeo,6,1:34.873,221.677
8,8,Hülkenberg,Nico,Renault,4,1:34.950,221.497
8,9,Norris,Lando,McLaren,2,1:34.754,221.955
8,10,Gasly,Pierre,Red Bull,1,1:35.197,220.922
8,11,Ricciardo,Daniel,Renault,0,1:35.150,221.032
8,12,Pérez,Sergio,Racing Point,0,1:35.014,221.348
8,13,Stroll,Lance,Racing Point,0,1:34.924,221.558
8,14,Kvyat,Daniil,Toro Rosso,0,1:35.225,220.857
8,15,Albon,Alexander,Toro Rosso,0,1:35.029,221.313
8,16,Giovinazzi,Antonio,Alfa Romeo,0,1:35.115,221.113
8,17,Magnussen,Kevin,Haas F1 Team,0,1:35.692,219.780
8,18,Kubica,Robert,Williams,0,1:36.608,217.696
8,19,Russell,George,Williams,0,1:35.830,219.463
8,20,Grosjean,Romain,Haas F1 Team,0,1:35.691,219.782
9,1,Verstappen,Max,Red Bull,26,1:07.475,230.378
9,2,Leclerc,Charles,Ferrari,18,1:07.994,228.620
9,3,Bottas,Valtteri,Mercedes,15,1:08.565,226.716
9,4,Vettel,Sebastian,Ferrari,12,1:07.676,229.694
9,5,Hamilton,Lewis,Mercedes,10,1:08.050,228.432
9,6,Norris,Lando,McLaren,8,1:08.699,226.274
9,7,Gasly,Pierre,Red Bull,6,1:08.790,225.974
9,8,Sainz,Carlos,McLaren,4,1:08.117,228.207
9,9,Räikkönen,Kimi,Alfa Romeo,2,1:09.126,224.876
9,10,Giovinazzi,Antonio,Alfa Romeo,1,1:09.051,225.120
9,11,Pérez,Sergio,Racing Point,0,1:09.061,225.087
9,12,Ricciardo,Daniel,Renault,0,1:08.019,228.536
9,13,Hülkenberg,Nico,Renault,0,1:09.248,224.480
9,14,Stroll,Lance,Racing Point,0,1:09.288,224.350
9,15,Albon,Alexander,Toro Rosso,0,1:08.946,225.463
9,16,Grosjean,Romain,Haas F1 Team,0,1:08.987,225.329
9,17,Kvyat,Daniil,Toro Rosso,0,1:09.498,223.672
9,18,Russell,George,Williams,0,1:09.926,222.303
9,19,Magnussen,Kevin,Haas F1 Team,0,1:08.903,225.604
9,20,Kubica,Robert,Williams,0,1:10.964,219.051
10,1,Hamilton,Lewis,Mercedes,26,1:27.369,242.735
10,2,Bottas,Valtteri,Mercedes,18,1:27.406,242.633
10,3,Leclerc,Charles,Ferrari,15,1:29.313,237.452
10,4,Gasly,Pierre,Red Bull,12,1:29.544,236.839
10,5,Verstappen,Max,Red Bull,10,1:29.272,237.561
10,6,Sainz,Carlos,McLaren,8,1:29.757,236.277
10,7,Ricciardo,Daniel,Renault,6,1:29.624,236.628
10,8,Räikkönen,Kimi,Alfa Romeo,4,1:30.034,235.551
10,9,Kvyat,Daniil,Toro Rosso,2,1:29.910,235.875
10,10,Hülkenberg,Nico,Renault,1,1:29.949,235.773
10,11,Norris,Lando,McLaren,0,1:29.636,236.596
10,12,Albon,Alexander,Toro Rosso,0,1:30.872,233.378
10,13,Stroll,Lance,Racing Point,0,1:29.390,237.248
10,14,Russell,George,Williams,0,1:31.013,233.017
10,15,Kubica,Robert,Williams,0,1:31.509,231.754
10,16,Vettel,Sebastian,Ferrari,0,1:28.733,239.004
10,17,Pérez,Sergio,Racing Point,0,1:29.456,237.072
10,18,Giovinazzi,Antonio,Alfa Romeo,0,1:32.464,229.360
10,19,Grosjean,Romain,Haas F1 Team,0,1:34.350,224.775
10,20,Magnussen,Kevin,Haas F1 Team,0,1:33.425,227.001
11,1,Verstappen,Max,Red Bull,26,1:16.645,214.839
11,2,Vettel,Sebastian,Ferrari,18,1:16.794,214.423
11,3,Kvyat,Daniil,Toro Rosso,15,1:17.708,211.900
11,4,Stroll,Lance,Racing Point,12,1:17.831,211.566
11,5,Sainz,Carlos,McLaren,10,1:17.841,211.538
11,6,Albon,Alexander,Toro Rosso,8,1:17.850,211.514
11,7,Grosjean,Romain,Haas F1 Team,6,1:17.746,211.797
11,8,Magnussen,Kevin,Haas F1 Team,4,1:17.507,212.450
11,9,Hamilton,Lewis,Mercedes,2,1:18.811,208.935
11,10,Kubica,Robert,Williams,1,1:19.062,208.271
11,11,Russell,George,Williams,0,1:17.485,212.510
11,12,Räikkönen,Kimi,Alfa Romeo,0,1:19.563,206.960
11,13,Giovinazzi,Antonio,Alfa Romeo,0,1:19.300,207.646
11,14,Gasly,Pierre,Red Bull,0,1:17.495,212.483
11,15,Bottas,Valtteri,Mercedes,0,1:18.272,210.374
11,16,Hülkenberg,Nico,Renault,0,1:29.576,183.826
11,17,Leclerc,Charles,Ferrari,0,1:27.697,187.764
11,18,Norris,Lando,McLaren,0,1:31.081,180.788
11,19,Ricciardo,Daniel,Renault,0,1:32.654,177.719
11,20,Pérez,Sergio,Racing Point,0,,
12,1,Hamilton,Lewis,Mercedes,25,1:18.528,200.840
12,2,Verstappen,Max,Red Bull,19,1:17.103,204.552
12,3,Vettel,Sebastian,Ferrari,15,1:19.786,197.673
12,4,Leclerc,Charles,Ferrari,12,1:20.493,195.937
12,5,Sainz,Carlos,McLaren,10,1:21.002,194.706
12,6,Gasly,Pierre,Red Bull,8,1:21.045,194.602
12,7,Räikkönen,Kimi,Alfa Romeo,6,1:20.880,195.000
12,8,Bottas,Valtteri,Mercedes,4,1:19.331,198.807
12,9,Norris,Lando,McLaren,2,1:21.188,194.260
12,10,Albon,Alexander,Toro Rosso,1,1:20.621,195.626
12,11,Pérez,Sergio,Racing Point,0,1:21.734,192.962
12,12,Hülkenberg,Nico,Renault,0,1:21.650,193.161
12,13,Magnussen,Kevin,Haas F1 Team,0,1:21.008,194.691
12,14,Ricciardo,Daniel,Renault,0,1:20.839,195.098
12,15,Kvyat,Daniil,Toro Rosso,0,1:21.932,192.496
12,16,Russell,George,Williams,0,1:22.386,191.435
12,17,Stroll,Lance,Racing Point,0,1:20.603,195.670
12,18,Giovinazzi,Antonio,Alfa Romeo,0,1:23.134,189.712
12,19,Kubica,Robert,Williams,0,1:23.436,189.026
12,20,Grosjean,Romain,Haas F1 Team,0,1:22.809,190.457
13,1,Leclerc,Charles,Ferrari,25,1:46.664,236.390
13,2,Hamilton,Lewis,Mercedes,18,1:46.580,236.577
13,3,Bottas,Valtteri,Mercedes,15,1:46.465,236.832
13,4,Vettel,Sebastian,Ferrari,13,1:46.409,236.957
13,5,Albon,Alexander,Red Bull,10,1:47.507,234.537
13,6,Pérez,Sergio,Racing Point,8,1:48.781,231.790
13,7,Kvyat,Daniil,Toro Rosso,6,1:48.143,233.157
13,8,Hülkenberg,Nico,Renault,4,1:48.349,232.714
13,9,Gasly,Pierre,Toro Rosso,2,1:49.700,229.848
13,10,Stroll,Lance,Racing Point,1,1:48.357,232.697
13,11,Norris,Lando,McLaren,0,1:48.321,232.774
13,12,Magnussen,Kevin,Haas F1 Team,0,1:48.677,232.012
13,13,Grosjean,Romain,Haas F1 Team,0,1:49.274,230.744
13,14,Ricciardo,Daniel,Renault,0,1:50.451,228.285
13,15,Russell,George,Williams,0,1:48.860,231.622
13,16,Räikkönen,Kimi,Alfa Romeo,0,1:48.753,231.850
13,17,Kubica,Robert,Williams,0,1:49.220,230.858
13,18,Giovinazzi,Antonio,Alfa Romeo,0,1:47.560,234.421
13,19,Sainz,Carlos,McLaren,0,,
13,20,Verstappen,Max,Red Bull,0,,
14,1,Leclerc,Charles,Ferrari,25,1:23.009,251.235
14,2,Bottas,Valtteri,Mercedes,18,1:22.859,251.690
14,3,Hamilton,Lewis,Mercedes,16,1:21.779,255.014
14,4,Ricciardo,Daniel,Renault,12,1:23.466,249.859
14,5,Hülkenberg,Nico,Renault,10,1:23.641,249.337
14,6,Albon,Alexander,Red Bull,8,1:23.364,250.165
14,7,Pérez,Sergio,Racing Point,6,1:23.770,248.953
14,8,Verstappen,Max,Red Bull,4,1:23.143,250.830
14,9,Giovinazzi,Antonio,Alfa Romeo,2,1:24.503,246.793
14,10,Norris,Lando,McLaren,1,1:24.044,248.141
14,11,Gasly,Pierre,Toro Rosso,0,1:23.885,248.611
14,12,Stroll,Lance,Racing Point,0,1:24.165,247.784
14,13,Vettel,Sebastian,Ferrari,0,1:22.799,251.872
14,14,Russell,George,Williams,0,1:24.842,245.807
14,15,Räikkönen,Kimi,Alfa Romeo,0,1:24.419,247.039
14,16,Grosjean,Romain,Haas F1 Team,0,1:24.985,245.393
14,17,Kubica,Robert,Williams,0,1:24.989,245.382
14,18,Magnussen,Kevin,Haas F1 Team,0,1:24.443,246.968
14,19,Kvyat,Daniil,Toro Rosso,0,1:25.772,243.142
14,20,Sainz,Carlos,McLaren,0,1:25.637,243.525
15,1,Vettel,Sebastian,Ferrari,25,1:44.802,173.916
15,2,Leclerc,Charles,Ferrari,18,1:44.723,174.047
15,3,Verstappen,Max,Red Bull,15,1:45.176,173.298
15,4,Hamilton,Lewis,Mercedes,12,1:44.914,173.730
15,5,Bottas,Valtteri,Mercedes,10,1:43.534,176.046
15,6,Albon,Alexander,Red Bull,8,1:45.260,173.159
15,7,Norris,Lando,McLaren,6,1:45.716,172.412
15,8,Gasly,Pierre,Toro Rosso,4,1:45.769,172.326
15,9,Hülkenberg,Nico,Renault,2,1:45.765,172.333
15,10,Giovinazzi,Antonio,Alfa Romeo,1,1:45.630,172.553
15,11,Grosjean,Romain,Haas F1 Team,0,1:46.274,171.507
15,12,Sainz,Carlos,McLaren,0,1:45.969,172.001
15,13,Stroll,Lance,Racing Point,0,1:44.896,173.760
15,14,Ricciardo,Daniel,Renault,0,1:45.915,172.088
15,15,Kvyat,Daniil,Toro Rosso,0,1:44.371,174.634
15,16,Kubica,Robert,Williams,0,1:46.793,170.674
15,17,Magnussen,Kevin,Haas F1 Team,0,1:42.301,178.168
15,18,Räikkönen,Kimi,Alfa Romeo,0,1:47.062,170.245
15,19,Pérez,Sergio,Racing Point,0,1:46.683,170.850
15,20,Russell,George,Williams,0,1:48.285,168.322
16,1,Hamilton,Lewis,Mercedes,26,1:35.761,219.847
16,2,Bottas,Valtteri,Mercedes,18,1:36.316,218.580
16,3,Leclerc,Charles,Ferrari,15,1:36.193,218.860
16,4,Verstappen,Max,Red Bull,12,1:36.937,217.180
16,5,Albon,Alexander,Red Bull,10,1:36.762,217.573
16,6,Sainz,Carlos,McLaren,8,1:38.020,214.780
16,7,Pérez,Sergio,Racing Point,6,1:38.043,214.730
16,8,Norris,Lando,McLaren,4,1:38.301,214.166
16,9,Magnussen,Kevin,Haas F1 Team,2,1:38.130,214.539
16,10,Hülkenberg,Nico,Renault,1,1:38.519,213.692
16,11,Stroll,Lance,Racing Point,0,1:38.611,213.493
16,12,Kvyat,Daniil,Toro Rosso,0,1:38.228,214.325
16,13,Räikkönen,Kimi,Alfa Romeo,0,1:38.589,213.541
16,14,Gasly,Pierre,Toro Rosso,0,1:38.606,213.504
16,15,Giovinazzi,Antonio,Alfa Romeo,0,1:38.696,213.309
16,16,Kubica,Robert,Williams,0,1:42.327,205.740
16,17,Russell,George,Williams,0,1:41.705,206.998
16,18,Vettel,Sebastian,Ferrari,0,1:38.245,214.288
16,19,Ricciardo,Daniel,Renault,0,1:41.284,207.859
16,20,Grosjean,Romain,Haas F1 Team,0,,
17,1,Bottas,Valtteri,Mercedes,25,1:31.862,227.571
17,2,Vettel,Sebastian,Ferrari,18,1:32.122,226.929
17,3,Hamilton,Lewis,Mercedes,16,1:30.983,229.770
17,4,Albon,Alexander,Red Bull,12,1:32.775,225.332
17,5,Sainz,Carlos,McLaren,10,1:33.563,223.434
17,6,Leclerc,Charles,Ferrari,8,1:31.611,228.195
17,7,Gasly,Pierre,Toro Rosso,6,1:35.321,219.313
17,8,Pérez,Sergio,Racing Point,4,1:32.621,225.706
17,9,Stroll,Lance,Racing Point,2,1:34.713,220.721
17,10,Kvyat,Daniil,Toro Rosso,1,1:33.239,224.210
17,11,Norris,Lando,McLaren,0,1:34.116,222.121
17,12,Räikkönen,Kimi,Alfa Romeo,0,1:33.190,224.328
17,13,Grosjean,Romain,Haas F1 Team,0,1:34.988,220.082
17,14,Giovinazzi,Antonio,Alfa Romeo,0,1:32.369,226.322
17,15,Magnussen,Kevin,Haas F1 Team,0,1:31.732,227.894
17,16,Russell,George,Williams,0,1:35.458,218.998
17,17,Kubica,Robert,Williams,0,1:36.332,217.012
17,18,Verstappen,Max,Red Bull,0,1:37.249,214.965
17,19,Ricciardo,Daniel,Renault,0,1:33.481,223.630
17,20,Hülkenberg,Nico,Renault,0,1:34.921,220.237
18,1,Hamilton,Lewis,Mercedes,25,1:19.461,194.993
18,2,Vettel,Sebastian,Ferrari,18,1:19.381,195.190
18,3,Bottas,Valtteri,Mercedes,15,1:19.494,194.912
18,4,Leclerc,Charles,Ferrari,13,1:19.232,195.557
18,5,Albon,Alexander,Red Bull,10,1:19.325,195.328
18,6,Verstappen,Max,Red Bull,8,1:20.406,192.702
18,7,Pérez,Sergio,Racing Point,6,1:20.485,192.512
18,8,Ricciardo,Daniel,Renault,4,1:20.146,193.327
18,9,Gasly,Pierre,Toro Rosso,2,1:19.530,194.824
18,10,Hülkenberg,Nico,Renault,1,1:20.791,191.783
18,11,Kvyat,Daniil,Toro Rosso,0,1:19.905,193.910
18,12,Stroll,Lance,Racing Point,0,1:20.922,191.473
18,13,Sainz,Carlos,McLaren,0,1:20.311,192.929
18,14,Giovinazzi,Antonio,Alfa Romeo,0,1:21.014,191.255
18,15,Magnussen,Kevin,Haas F1 Team,0,1:21.682,189.691
18,16,Russell,George,Williams,0,1:21.286,190.615
18,17,Grosjean,Romain,Haas F1 Team,0,1:21.581,189.926
18,18,Kubica,Robert,Williams,0,1:20.696,192.009
18,19,Räikkönen,Kimi,Alfa Romeo,0,1:20.082,193.481
18,20,Norris,Lando,McLaren,0,1:21.643,189.782
19,1,Bottas,Valtteri,Mercedes,25,1:36.957,204.696
19,2,Hamilton,Lewis,Mercedes,18,1:38.446,201.600
19,3,Verstappen,Max,Red Bull,15,1:38.214,202.077
19,4,Leclerc,Charles,Ferrari,13,1:36.169,206.374
19,5,Albon,Alexander,Red Bull,10,1:38.029,202.458
19,6,Ricciardo,Daniel,Renault,8,1:40.564,197.354
19,7,Norris,Lando,McLaren,6,1:38.074,202.365
19,8,Sainz,Carlos,McLaren,4,1:40.844,196.806
19,9,Hülkenberg,Nico,Renault,2,1:38.437,201.619
19,10,Pérez,Sergio,Racing Point,1,1:40.165,198.141
19,11,Räikkönen,Kimi,Alfa Romeo,0,1:39.608,199.249
19,12,Kvyat,Daniil,Toro Rosso,0,1:38.969,200.535
19,13,Stroll,Lance,Racing Point,0,1:40.380,197.716
19,14,Giovinazzi,Antonio,Alfa Romeo,0,1:39.964,198.539
19,15,Grosjean,Romain,Haas F1 Team,0,1:41.270,195.979
19,16,Gasly,Pierre,Toro Rosso,0,1:40.850,196.795
19,17,Russell,George,Williams,0,1:41.239,196.039
19,18,Magnussen,Kevin,Haas F1 Team,0,1:40.347,197.781
19,19,Kubica,Robert,Williams,0,1:43.830,191.147
19,20,Vettel,Sebastian,Ferrari,0,1:42.165,194.262
20,1,Verstappen,Max,Red Bull,25,1:10.862,218.909
20,2,Gasly,Pierre,Toro Rosso,18,1:12.425,214.185
20,3,Sainz,Carlos,McLaren,15,1:13.158,212.039
20,4,Räikkönen,Kimi,Alfa Romeo,12,1:13.135,212.106
20,5,Giovinazzi,Antonio,Alfa Romeo,10,1:13.020,212.440
20,6,Ricciardo,Daniel,Renault,8,1:12.733,213.278
20,7,Hamilton,Lewis,Mercedes,6,1:11.082,218.232
20,8,Norris,Lando,McLaren,4,1:12.328,214.472
20,9,Pérez,Sergio,Racing Point,2,1:12.840,212.965
20,10,Kvyat,Daniil,Toro Rosso,1,1:12.385,214.304
20,11,Magnussen,Kevin,Haas F1 Team,0,1:13.262,211.738
20,12,Russell,George,Williams,0,1:13.752,210.331
20,13,Grosjean,Romain,Haas F1 Team,0,1:13.619,210.711
20,14,Albon,Alexander,Red Bull,0,1:11.087,218.217
20,15,Hülkenberg,Nico,Renault,0,1:12.934,212.690
20,16,Kubica,Robert,Williams,0,1:14.553,208.072
20,17,Vettel,Sebastian,Ferrari,0,1:11.384,217.309
20,18,Leclerc,Charles,Ferrari,0,1:11.423,217.190
20,19,Stroll,Lance,Racing Point,0,1:12.603,213.660
20,20,Bottas,Valtteri,Mercedes,0,1:10.698,219.417
21,1,Hamilton,Lewis,Mercedes,26,1:39.283,201.387
21,2,Verstappen,Max,Red Bull,18,1:41.119,197.731
21,3,Leclerc,Charles,Ferrari,15,1:40.442,199.064
21,4,Bottas,Valtteri,Mercedes,12,1:39.715,200.515
21,5,Vettel,Sebastian,Ferrari,10,1:40.128,199.688
21,6,Albon,Alexander,Red Bull,8,1:42.219,195.603
21,7,Pérez,Sergio,Racing Point,6,1:42.639,194.803
21,8,Norris,Lando,McLaren,4,1:43.026,194.071
21,9,Kvyat,Daniil,Toro Rosso,2,1:42.222,195.597
21,10,Sainz,Carlos,McLaren,1,1:41.294,197.389
21,11,Ricciardo,Daniel,Renault,0,1:41.190,197.592
21,12,Hülkenberg,Nico,Renault,0,1:43.274,193.605
21,13,Räikkönen,Kimi,Alfa Romeo,0,1:43.142,193.853
21,14,Magnussen,Kevin,Haas F1 Team,0,1:43.790,192.642
21,15,Grosjean,Romain,Haas F1 Team,0,1:43.666,192.873
21,16,Giovinazzi,Antonio,Alfa Romeo,0,1:43.256,193.639
21,17,Russell,George,Williams,0,1:43.074,193.981
21,18,Gasly,Pierre,Toro Rosso,0,1:42.414,195.231
21,19,Kubica,Robert,Williams,0,1:44.500,191.333
21,20,Stroll,Lance,Racing Point,0,1:43.326,193.507
