Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
1,2011,1,vettel,Vettel,Sebastian,Red Bull,red_bull,25,Finished,1:29.844,212.488,2831.0,1,58.0
1,2011,2,hamilton,Hamilton,Lewis,McLaren,mclaren,18,Finished,1:30.314,211.382,3124.0,0,76.0
1,2011,3,petrov,Petrov,Vitaly,Renault,renault,15,Finished,1:30.064,211.969,42.0,0,0.0
1,2011,4,alonso,Alonso,Fernando,Ferrari,ferrari,12,Finished,1:29.487,213.336,2690.0,0,58.0
1,2011,5,webber,Webber,Mark,Red Bull,red_bull,10,Finished,1:29.600,213.066,421.5,0,6.0
1,2011,6,button,Button,Jenson,McLaren,mclaren,8,Finished,1:29.883,212.396,549.0,0,9.0
1,2011,7,massa,Massa,Felipe,Ferrari,ferrari,6,Finished,1:28.947,214.631,470.0,0,11.0
1,2011,8,buemi,Buemi,Sébastien,Toro Rosso,toro_rosso,4,+1 Lap,1:30.836,210.167,18.0,0,0.0
1,2011,9,sutil,Sutil,Adrian,Force India,force_india,2,+1 Lap,1:31.526,208.583,55.0,0,0.0
1,2011,10,resta,di Resta,Paul,Force India,force_india,1,+1 Lap,1:31.941,207.641,1.0,0,0.0
1,2011,11,alguersuari,Alguersuari,Jaime,Toro Rosso,toro_rosso,0,+1 Lap,1:30.467,211.025,5.0,0,0.0
1,2011,12,heidfeld,Heidfeld,Nick,Renault,renault,0,+1 Lap,1:32.377,206.661,225.0,0,0.0
1,2011,13,trulli,Trulli,Jarno,Lotus,lotus_racing,0,+2 Laps,1:32.550,206.275,235.5,0,1.0
1,2011,14,ambrosio,d'Ambrosio,Jérôme,Virgin,virgin,0,+4 Laps,1:34.523,201.969,0.0,0,0.0
1,2011,15,glock,Glock,Timo,Virgin,virgin,0,+9 Laps,1:35.789,199.300,51.0,0,0.0
1,2011,16,barrichello,Barrichello,Rubens,Williams,williams,0,Transmission,1:31.404,208.861,577.0,0,11.0
1,2011,17,rosberg,Rosberg,Nico,Mercedes,mercedes,0,Collision,1:33.503,204.173,217.5,0,0.0
1,2011,18,kovalainen,Kovalainen,Heikki,Lotus,lotus_racing,0,Water leak,1:34.918,201.129,105.0,0,1.0
1,2011,19,michael_schumacher,Schumacher,Michael,Mercedes,mercedes,0,Collision,1:35.319,200.283,871.0,0,56.0
1,2011,20,maldonado,Maldonado,Pastor,Williams,williams,0,Transmission,1:34.102,202.873,0.0,0,0.0
1,2011,21,kobayashi,Kobayashi,Kamui,Sauber,sauber,0,Disqualified,1:30.384,211.218,35.0,0,0.0
1,2011,22,perez,Pérez,Sergio,Sauber,sauber,0,Disqualified,1:29.962,212.209,467.0,0,0.0
1,2011,23,liuzzi,Liuzzi,Vitantonio,HRT,hrt,0,Did not qualify,,,26.0,0,0.0
1,2011,24,karthikeyan,Karthikeyan,Narain,HRT,hrt,0,Did not qualify,,,5.0,0,0.0
2,2011,1,vettel,Vettel,Sebastian,Red Bull,red_bull,25,Finished,1:41.539,196.523,2856.0,1,59.0
2,2011,2,button,Button,Jenson,McLaren,mclaren,18,Finished,1:41.264,197.057,567.0,0,9.0
2,2011,3,heidfeld,Heidfeld,Nick,Renault,renault,15,Finished,1:41.547,196.508,240.0,0,0.0
2,2011,4,webber,Webber,Mark,Red Bull,red_bull,12,Finished,1:40.571,198.415,433.5,0,6.0
2,2011,5,massa,Massa,Felipe,Ferrari,ferrari,10,Finished,1:41.999,195.637,480.0,0,11.0
2,2011,6,alonso,Alonso,Fernando,Ferrari,ferrari,8,Finished,1:40.717,198.127,2698.0,0,58.0
2,2011,7,kobayashi,Kobayashi,Kamui,Sauber,sauber,6,Finished,1:42.095,195.453,41.0,0,0.0
2,2011,8,hamilton,Hamilton,Lewis,McLaren,mclaren,4,Finished,1:41.512,196.575,3128.0,0,76.0
2,2011,9,michael_schumacher,Schumacher,Michael,Mercedes,mercedes,2,Finished,1:42.491,194.698,873.0,0,56.0
2,2011,10,resta,di Resta,Paul,Force India,force_india,1,Finished,1:42.883,193.956,2.0,0,0.0
2,2011,11,sutil,Sutil,Adrian,Force India,force_india,0,+1 Lap,1:42.973,193.786,55.0,0,0.0
2,2011,12,rosberg,Rosberg,Nico,Mercedes,mercedes,0,+1 Lap,1:41.778,196.062,217.5,0,0.0
2,2011,13,buemi,Buemi,Sébastien,Toro Rosso,toro_rosso,0,+1 Lap,1:42.659,194.379,18.0,0,0.0
2,2011,14,alguersuari,Alguersuari,Jaime,Toro Rosso,toro_rosso,0,+1 Lap,1:43.744,192.346,5.0,0,0.0
2,2011,15,kovalainen,Kovalainen,Heikki,Lotus,lotus_racing,0,+1 Lap,1:43.677,192.470,105.0,0,1.0
2,2011,16,glock,Glock,Timo,Virgin,virgin,0,+2 Laps,1:45.357,189.401,51.0,0,0.0
2,2011,17,petrov,Petrov,Vitaly,Renault,renault,0,Accident,1:41.054,197.466,42.0,0,0.0
2,2011,18,liuzzi,Liuzzi,Vitantonio,HRT,hrt,0,+10 Laps,1:46.521,187.332,26.0,0,0.0
2,2011,19,ambrosio,d'Ambrosio,Jérôme,Virgin,virgin,0,Accident,1:45.346,189.421,0.0,0,0.0
2,2011,20,trulli,Trulli,Jarno,Lotus,lotus_racing,0,Clutch,1:45.280,189.540,235.5,0,1.0
2,2011,21,perez,Pérez,Sergio,Sauber,sauber,0,Accident,1:43.298,193.177,467.0,0,0.0
