Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code,Driver ID
7,12,Grosjean,Romain,Haas F1 Team,0,1:15.470,208.024,+1 Lap,GRO,grosjean
7,13,Magnussen,Kevin,Haas F1 Team,0,1:15.401,208.214,+1 Lap,MAG,kevin_magnussen
7,14,Pérez,Sergio,Force India,0,1:15.100,209.049,+1 Lap,PER,perez
7,15,Ericsson,Marcus,Sauber,0,1:16.403,205.484,+2 Laps,ERI,ericsson
7,16,Vandoorne,Stoffel,McLaren,0,1:15.765,207.214,+2 Laps,VAN,vandoorne
7,17,Sirotkin,Sergey,Williams,0,1:15.924,206.780,+2 Laps,SIR,sirotkin
7,18,Alonso,Fernando,McLaren,0,1:16.180,206.085,Exhaust,ALO,alonso
7,19,Hartley,Brendon,Toro Rosso,0,,,Collision,HAR,brendon_hartley
7,20,Stroll,Lance,Williams,0,,,Collision,STR,stroll
8,1,Hamilton,Lewis,Mercedes,25,1:34.509,222.531,Finished,HAM,hamilton
8,2,Verstappen,Max,Red Bull,18,1:34.275,223.083,Finished,VER,max_verstappen
8,3,Räikkönen,Kimi,Ferrari,15,1:34.398,222.792,Finished,RAI,raikkonen
8,4,Ricciardo,Daniel,Red Bull,12,1:35.382,220.494,Finished,RIC,ricciardo
8,5,Vettel,Sebastian,Ferrari,10,1:34.485,222.587,Finished,VET,vettel
8,6,Magnussen,Kevin,Haas F1 Team,8,1:35.425,220.395,Finished,MAG,kevin_magnussen
8,7,Bottas,Valtteri,Mercedes,6,1:34.225,223.201,Finished,BOT,bottas
8,8,Sainz,Carlos,Renault,4,1:35.638,219.904,Finished,SAI,sainz
8,9,Hülkenberg,Nico,Renault,2,1:35.873,219.365,Finished,HUL,hulkenberg
8,10,Leclerc,Charles,Sauber,1,1:35.977,219.127,Finished,LEC,leclerc
8,11,Grosjean,Romain,Haas F1 Team,0,1:35.695,219.773,+1 Lap,GRO,grosjean
8,12,Vandoorne,Stoffel,McLaren,0,1:36.675,217.545,+1 Lap,VAN,vandoorne
8,13,Ericsson,Marcus,Sauber,0,1:36.494,217.953,+1 Lap,ERI,ericsson
8,14,Hartley,Brendon,Toro Rosso,0,1:36.839,217.176,+1 Lap,HAR,brendon_hartley
8,15,Sirotkin,Sergey,Williams,0,1:38.300,213.949,+1 Lap,SIR,sirotkin
8,16,Alonso,Fernando,McLaren,0,1:35.133,221.071,Wheel,ALO,alonso
8,17,Stroll,Lance,Williams,0,1:38.319,213.907,Puncture,STR,stroll
8,18,Pérez,Sergio,Force India,0,1:38.319,213.907,Engine,PER,perez
8,19,Ocon,Esteban,Force India,0,,,Collision,OCO,ocon
8,20,Gasly,Pierre,Toro Rosso,0,,,Collision,GAS,gasly
9,1,Verstappen,Max,Red Bull,25,1:07.442,230.491,Finished,VER,max_verstappen
9,2,Räikkönen,Kimi,Ferrari,18,1:06.957,232.160,Finished,RAI,raikkonen
9,3,Vettel,Sebastian,Ferrari,15,1:07.082,231.728,Finished,VET,vettel
9,4,Grosjean,Romain,Haas F1 Team,12,1:09.071,225.055,+1 Lap,GRO,grosjean
9,5,Magnussen,Kevin,Haas F1 Team,10,1:08.476,227.010,+1 Lap,MAG,kevin_magnussen
9,6,Ocon,Esteban,Force India,8,1:08.850,225.777,+1 Lap,OCO,ocon
9,7,Pérez,Sergio,Force India,6,1:08.504,226.918,+1 Lap,PER,perez
9,8,Alonso,Fernando,McLaren,4,1:08.661,226.399,+1 Lap,ALO,alonso
9,9,Leclerc,Charles,Sauber,2,1:09.006,225.267,+1 Lap,LEC,leclerc
9,10,Ericsson,Marcus,Sauber,1,1:08.216,227.876,+1 Lap,ERI,ericsson
9,11,Gasly,Pierre,Toro Rosso,0,1:09.295,224.327,+1 Lap,GAS,gasly
9,12,Sainz,Carlos,Renault,0,1:08.766,226.053,+1 Lap,SAI,sainz
