Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
9,2020,9,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,2,Finished,1:21.164,232.640,3426.0,0,41.0
9,2020,10,vettel,Vettel,Sebastian,Ferrari,ferrari,1,Finished,1:21.202,232.531,5427.0,0,100.0
9,2020,11,russell,Russell,George,Williams,williams,0,Finished,1:21.645,231.269,0.0,0,0.0
9,2020,12,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Finished,1:22.263,229.532,733.0,0,0.0
9,2020,13,stroll,Stroll,Lance,Racing Point,racing_point,0,Puncture,1:22.068,230.077,164.0,0,0.0
9,2020,14,ocon,Ocon,Esteban,Renault,renault,0,Brakes,2:11.793,143.270,253.0,0,0.0
9,2020,15,latifi,Latifi,Nicholas,Williams,williams,0,Collision,2:11.365,143.736,0.0,0,0.0
9,2020,16,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Collision,2:13.812,141.108,239.0,0,0.0
9,2020,17,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,Collision,2:13.809,141.111,16.0,0,0.0
9,2020,18,sainz,Sainz,Carlos,McLaren,mclaren,0,Collision,2:14.103,140.802,426.0,0,0.0
9,2020,19,max_verstappen,Verstappen,Max,Red Bull,red_bull,0,Collision,,,1479.0,0,12.0
9,2020,20,gasly,Gasly,Pierre,AlphaTauri,alphatauri,0,Collision,,,167.0,0,1.0
10,2020,1,bottas,Bottas,Valtteri,Mercedes,mercedes,26,Finished,1:37.030,216.972,2166.0,1,12.0
10,2020,2,max_verstappen,Verstappen,Max,Red Bull,red_bull,18,Finished,1:37.332,216.298,1497.0,0,12.0
10,2020,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,15,Finished,1:38.075,214.660,6246.0,0,152.0
10,2020,4,perez,Pérez,Sergio,Racing Point,racing_point,12,Finished,1:38.141,214.515,1104.0,0,0.0
10,2020,5,ricciardo,Ricciardo,Daniel,Renault,renault,10,Finished,1:37.886,215.074,1919.0,0,12.0
10,2020,6,leclerc,Leclerc,Charles,Ferrari,ferrari,8,Finished,1:39.053,212.540,360.0,0,2.0
10,2020,7,ocon,Ocon,Esteban,Renault,renault,6,Finished,1:39.216,212.191,259.0,0,0.0
10,2020,8,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,4,Finished,1:39.133,212.369,317.0,0,0.0
10,2020,9,gasly,Gasly,Pierre,AlphaTauri,alphatauri,2,Finished,1:37.231,216.523,169.0,0,1.0
10,2020,10,albon,Albon,Alexander,Red Bull,red_bull,1,Finished,1:38.377,214.001,156.0,0,0.0
10,2020,11,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,+1 Lap,1:39.766,211.021,16.0,0,0.0
10,2020,12,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+1 Lap,1:40.380,209.731,239.0,0,0.0
10,2020,13,vettel,Vettel,Sebastian,Ferrari,ferrari,0,+1 Lap,1:39.588,211.398,5427.0,0,100.0
