Race ID,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph)
14,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:22.497,252.794
14,2,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,18,Finished,1:23.515,249.713
14,3,bottas,Bottas,Valtteri,Mercedes,mercedes,15,Finished,1:22.907,251.544
14,4,vettel,Vettel,Sebastian,Ferrari,ferrari,12,Finished,1:22.505,252.770
14,5,max_verstappen,Verstappen,Max,Red Bull,red_bull,10,Finished,1:23.609,249.432
14,6,ocon,Ocon,Esteban,Force India,force_india,8,Finished,1:24.243,247.555
14,7,perez,Pérez,Sergio,Force India,force_india,6,Finished,1:24.179,247.743
14,8,sainz,Sainz,Carlos,Renault,renault,4,Finished,1:23.529,249.671
14,9,stroll,Stroll,Lance,Williams,williams,2,+1 Lap,1:24.056,248.106
14,10,sirotkin,Sirotkin,Sergey,Williams,williams,1,+1 Lap,1:24.580,246.568
14,11,leclerc,Leclerc,Charles,Sauber,sauber,0,+1 Lap,1:23.768,248.959
14,12,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+1 Lap,1:24.504,246.790
14,13,hulkenberg,Hülkenberg,Nico,Renault,renault,0,+1 Lap,1:24.772,246.010
14,14,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,+1 Lap,1:24.059,248.097
14,15,ericsson,Ericsson,Marcus,Sauber,sauber,0,+1 Lap,1:24.767,246.024
14,16,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+1 Lap,1:23.768,248.959
14,17,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,0,Engine,1:25.692,243.369
14,18,alonso,Alonso,Fernando,McLaren,mclaren,0,Engine,1:25.229,244.691
14,19,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,Brakes,1:27.009,239.685
14,20,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Disqualified,,
15,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:42.913,177.108
15,2,max_verstappen,Verstappen,Max,Red Bull,red_bull,18,Finished,1:43.345,176.368
15,3,vettel,Vettel,Sebastian,Ferrari,ferrari,15,Finished,1:44.669,174.137
15,4,bottas,Bottas,Valtteri,Mercedes,mercedes,12,Finished,1:44.720,174.052
15,5,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,10,Finished,1:44.715,174.061
15,6,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,8,Finished,1:43.120,176.753
15,7,alonso,Alonso,Fernando,McLaren,mclaren,6,Finished,1:43.164,176.677
15,8,sainz,Sainz,Carlos,Renault,renault,4,+1 Lap,1:45.211,173.240
15,9,leclerc,Leclerc,Charles,Sauber,sauber,2,+1 Lap,1:45.203,173.253
15,10,hulkenberg,Hülkenberg,Nico,Renault,renault,1,+1 Lap,1:46.093,171.800
15,11,ericsson,Ericsson,Marcus,Sauber,sauber,0,+1 Lap,1:45.169,173.309
15,12,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+1 Lap,1:45.555,172.675
15,13,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,+1 Lap,1:46.063,171.848
15,14,stroll,Stroll,Lance,Williams,williams,0,+1 Lap,1:46.033,171.897
15,15,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:45.904,172.106
15,16,perez,Pérez,Sergio,Force India,force_india,0,+1 Lap,1:45.389,172.947
15,17,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+1 Lap,1:44.889,173.772
15,18,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+2 Laps,1:41.905,178.860
15,19,sirotkin,Sirotkin,Sergey,Williams,williams,0,+2 Laps,1:45.902,172.110
15,20,ocon,Ocon,Esteban,Force India,force_india,0,Collision,,
16,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:35.916,219.492
16,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:35.861,219.617
16,3,vettel,Vettel,Sebastian,Ferrari,ferrari,15,Finished,1:35.990,219.322
16,4,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,12,Finished,1:36.611,217.913
16,5,max_verstappen,Verstappen,Max,Red Bull,red_bull,10,Finished,1:36.283,218.655
16,6,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,8,Finished,1:36.345,218.514
16,7,leclerc,Leclerc,Charles,Sauber,sauber,6,Finished,1:38.107,214.590
16,8,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,4,+1 Lap,1:38.015,214.791
16,9,ocon,Ocon,Esteban,Force India,force_india,2,+1 Lap,1:38.366,214.025
16,10,perez,Pérez,Sergio,Force India,force_india,1,+1 Lap,1:38.300,214.168
16,11,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:38.244,214.290
16,12,hulkenberg,Hülkenberg,Nico,Renault,renault,0,+1 Lap,1:39.108,212.422
16,13,ericsson,Ericsson,Marcus,Sauber,sauber,0,+1 Lap,1:37.931,214.975
16,14,alonso,Alonso,Fernando,McLaren,mclaren,0,+1 Lap,1:39.590,211.394
16,15,stroll,Stroll,Lance,Williams,williams,0,+1 Lap,1:39.435,211.724
16,16,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+2 Laps,1:39.922,210.692
16,17,sainz,Sainz,Carlos,Renault,renault,0,+2 Laps,1:39.731,211.095
16,18,sirotkin,Sirotkin,Sergey,Williams,williams,0,+2 Laps,1:39.838,210.869
16,19,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,Brakes,1:44.071,202.292
16,20,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,Brakes,1:45.852,198.889
17,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:32.785,225.307
17,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:33.110,224.521
17,3,max_verstappen,Verstappen,Max,Red Bull,red_bull,15,Finished,1:33.367,223.903
17,4,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,12,Finished,1:33.187,224.336
17,5,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,10,Finished,1:34.223,221.869
17,6,vettel,Vettel,Sebastian,Ferrari,ferrari,8,Finished,1:32.318,226.447
17,7,perez,Pérez,Sergio,Force India,force_india,6,Finished,1:34.073,222.223
17,8,grosjean,Grosjean,Romain,Haas F1 Team,haas,4,Finished,1:34.786,220.551
17,9,ocon,Ocon,Esteban,Force India,force_india,2,Finished,1:34.670,220.821
17,10,sainz,Sainz,Carlos,Renault,renault,1,+1 Lap,1:34.197,221.930
17,11,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,+1 Lap,1:34.133,222.081
17,12,ericsson,Ericsson,Marcus,Sauber,sauber,0,+1 Lap,1:36.294,217.097
17,13,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+1 Lap,1:34.857,220.386
17,14,alonso,Alonso,Fernando,McLaren,mclaren,0,+1 Lap,1:33.943,222.530
17,15,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+1 Lap,1:35.023,220.001
17,16,sirotkin,Sirotkin,Sergey,Williams,williams,0,+1 Lap,1:33.985,222.431
17,17,stroll,Stroll,Lance,Williams,williams,0,+1 Lap,1:33.354,223.934
17,18,leclerc,Leclerc,Charles,Sauber,sauber,0,Mechanical,1:34.515,221.183
17,19,hulkenberg,Hülkenberg,Nico,Renault,renault,0,Engine,1:34.934,220.207
17,20,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Collision damage,1:39.908,209.244
18,1,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,25,Finished,1:38.482,201.527
18,2,max_verstappen,Verstappen,Max,Red Bull,red_bull,18,Finished,1:38.246,202.011
18,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,15,Finished,1:37.392,203.782
18,4,vettel,Vettel,Sebastian,Ferrari,ferrari,12,Finished,1:38.280,201.941
18,5,bottas,Bottas,Valtteri,Mercedes,mercedes,10,Finished,1:38.470,201.551
18,6,hulkenberg,Hülkenberg,Nico,Renault,renault,8,Finished,1:39.548,199.369
18,7,sainz,Sainz,Carlos,Renault,renault,6,Finished,1:39.858,198.750
18,8,perez,Pérez,Sergio,Force India,force_india,4,Finished,1:39.992,198.483
18,9,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,2,+1 Lap,1:38.963,200.547
