Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
14,2019,15,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:24.419,247.039,3412.0,0,41.0
14,2019,16,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:24.985,245.393,733.0,0,0.0
14,2019,17,kubica,Kubica,Robert,Williams,williams,0,+2 Laps,1:24.989,245.382,274.0,0,1.0
14,2019,18,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Hydraulics,1:24.443,246.968,236.0,0,0.0
14,2019,19,kvyat,Kvyat,Daniil,Toro Rosso,toro_rosso,0,Engine,1:25.772,243.142,299.0,0,0.0
14,2019,20,sainz,Sainz,Carlos,McLaren,mclaren,0,Wheel,1:25.637,243.525,347.0,0,0.0
15,2019,1,vettel,Vettel,Sebastian,Ferrari,ferrari,25,Finished,1:44.802,173.916,5364.0,1,100.0
15,2019,2,leclerc,Leclerc,Charles,Ferrari,ferrari,18,Finished,1:44.723,174.047,239.0,0,2.0
15,2019,3,max_verstappen,Verstappen,Max,Red Bull,red_bull,15,Finished,1:45.176,173.298,1291.0,0,10.0
15,2019,4,hamilton,Hamilton,Lewis,Mercedes,mercedes,12,Finished,1:44.914,173.730,5924.0,0,143.0
15,2019,5,bottas,Bottas,Valtteri,Mercedes,mercedes,10,Finished,1:43.534,176.046,1910.0,0,8.0
15,2019,6,albon,Albon,Alexander,Red Bull,red_bull,8,Finished,1:45.260,173.159,42.0,0,0.0
15,2019,7,norris,Norris,Lando,McLaren,mclaren,6,Finished,1:45.716,172.412,31.0,0,0.0
15,2019,8,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,4,Finished,1:45.769,172.326,98.0,0,0.0
15,2019,9,hulkenberg,Hülkenberg,Nico,Renault,renault,2,Finished,1:45.765,172.333,912.0,0,0.0
15,2019,10,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,1,Finished,1:45.630,172.553,4.0,0,0.0
15,2019,11,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Finished,1:46.274,171.507,733.0,0,0.0
15,2019,12,sainz,Sainz,Carlos,McLaren,mclaren,0,Finished,1:45.969,172.001,347.0,0,0.0
15,2019,13,stroll,Stroll,Lance,Racing Point,racing_point,0,Finished,1:44.896,173.760,105.0,0,0.0
15,2019,14,ricciardo,Ricciardo,Daniel,Renault,renault,0,Finished,1:45.915,172.088,1836.0,0,12.0
15,2019,15,kvyat,Kvyat,Daniil,Toro Rosso,toro_rosso,0,Finished,1:44.371,174.634,299.0,0,0.0
15,2019,16,kubica,Kubica,Robert,Williams,williams,0,Finished,1:46.793,170.674,274.0,0,1.0
15,2019,17,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Finished,1:42.301,178.168,236.0,0,0.0
15,2019,18,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,Collision,1:47.062,170.245,3412.0,0,41.0
15,2019,19,perez,Pérez,Sergio,Racing Point,racing_point,0,Engine,1:46.683,170.850,1023.0,0,0.0
15,2019,20,russell,Russell,George,Williams,williams,0,Collision,1:48.285,168.322,0.0,0,0.0
16,2019,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,26,Finished,1:35.761,219.847,5950.0,1,144.0
16,2019,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:36.316,218.580,1928.0,0,8.0
16,2019,3,leclerc,Leclerc,Charles,Ferrari,ferrari,15,Finished,1:36.193,218.860,254.0,0,2.0
16,2019,4,max_verstappen,Verstappen,Max,Red Bull,red_bull,12,Finished,1:36.937,217.180,1303.0,0,10.0
16,2019,5,albon,Albon,Alexander,Red Bull,red_bull,10,Finished,1:36.762,217.573,52.0,0,0.0
16,2019,6,sainz,Sainz,Carlos,McLaren,mclaren,8,Finished,1:38.020,214.780,355.0,0,0.0
16,2019,7,perez,Pérez,Sergio,Racing Point,racing_point,6,Finished,1:38.043,214.730,1029.0,0,0.0
16,2019,8,norris,Norris,Lando,McLaren,mclaren,4,Finished,1:38.301,214.166,35.0,0,0.0
16,2019,9,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,2,Finished,1:38.130,214.539,238.0,0,0.0
16,2019,10,hulkenberg,Hülkenberg,Nico,Renault,renault,1,Finished,1:38.519,213.692,913.0,0,0.0
16,2019,11,stroll,Stroll,Lance,Racing Point,racing_point,0,Finished,1:38.611,213.493,105.0,0,0.0
16,2019,12,kvyat,Kvyat,Daniil,Toro Rosso,toro_rosso,0,Finished,1:38.228,214.325,299.0,0,0.0
16,2019,13,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,Finished,1:38.589,213.541,3412.0,0,41.0
16,2019,14,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,Finished,1:38.606,213.504,98.0,0,0.0
16,2019,15,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,Finished,1:38.696,213.309,4.0,0,0.0
16,2019,16,kubica,Kubica,Robert,Williams,williams,0,Brakes,1:42.327,205.740,274.0,0,1.0
16,2019,17,russell,Russell,George,Williams,williams,0,Brakes,1:41.705,206.998,0.0,0,0.0
16,2019,18,vettel,Vettel,Sebastian,Ferrari,ferrari,0,Power loss,1:38.245,214.288,5364.0,0,100.0
16,2019,19,ricciardo,Ricciardo,Daniel,Renault,renault,0,Collision,1:41.284,207.859,1836.0,0,12.0
16,2019,20,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Collision,,,733.0,0,0.0
17,2019,1,bottas,Bottas,Valtteri,Mercedes,mercedes,25,Finished,1:31.862,227.571,1953.0,1,9.0
17,2019,2,vettel,Vettel,Sebastian,Ferrari,ferrari,18,Finished,1:32.122,226.929,5382.0,0,100.0
17,2019,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,16,Finished,1:30.983,229.770,5966.0,0,144.0
17,2019,4,albon,Albon,Alexander,Red Bull,red_bull,12,Finished,1:32.775,225.332,64.0,0,0.0
17,2019,5,sainz,Sainz,Carlos,McLaren,mclaren,10,Finished,1:33.563,223.434,365.0,0,0.0
17,2019,6,leclerc,Leclerc,Charles,Ferrari,ferrari,8,+1 Lap,1:31.611,228.195,262.0,0,2.0
17,2019,7,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,6,+1 Lap,1:35.321,219.313,104.0,0,0.0
17,2019,8,perez,Pérez,Sergio,Racing Point,racing_point,4,+1 Lap,1:32.621,225.706,1033.0,0,0.0
17,2019,9,stroll,Stroll,Lance,Racing Point,racing_point,2,+1 Lap,1:34.713,220.721,107.0,0,0.0
17,2019,10,kvyat,Kvyat,Daniil,Toro Rosso,toro_rosso,1,+1 Lap,1:33.239,224.210,300.0,0,0.0
17,2019,11,norris,Norris,Lando,McLaren,mclaren,0,+1 Lap,1:34.116,222.121,35.0,0,0.0
17,2019,12,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:33.190,224.328,3412.0,0,41.0
17,2019,13,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:34.988,220.082,733.0,0,0.0
17,2019,14,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,+1 Lap,1:32.369,226.322,4.0,0,0.0
17,2019,15,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+1 Lap,1:31.732,227.894,238.0,0,0.0
17,2019,16,russell,Russell,George,Williams,williams,0,+2 Laps,1:35.458,218.998,0.0,0,0.0
17,2019,17,kubica,Kubica,Robert,Williams,williams,0,+2 Laps,1:36.332,217.012,274.0,0,1.0
17,2019,18,max_verstappen,Verstappen,Max,Red Bull,red_bull,0,Brakes,1:37.249,214.965,1303.0,0,10.0
17,2019,19,ricciardo,Ricciardo,Daniel,Renault,renault,0,Disqualified,1:33.481,223.630,1836.0,0,12.0
17,2019,20,hulkenberg,Hülkenberg,Nico,Renault,renault,0,Disqualified,1:34.921,220.237,913.0,0,0.0
