Constructor,Race ID,Year,Constructor ID,Status,Status_value,StatusComponent,Round,Mean,StdDev,PitStopComponent,ConstructorConfidence
Alfa Romeo,12,2019,alfa,+1 Lap +2 Laps,1.6,-0.059882803531030954,12,23.401,1.1702,-0.105,0.006
Alfa Romeo,12,2020,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,12,27.588,0.0,-0.105,0.006
Alfa Romeo,12,2022,alfa,Finished +6 Laps,1.8,0.39700080859461506,12,40.402,5.5441,-0.113,-0.045
Alfa Romeo,13,2019,alfa,+1 Lap Accident,1.4,-0.5167664156566775,13,25.227,2.1773,-0.11,0.057
Alfa Romeo,13,2020,alfa,Finished Finished,2.0,0.853884420720261,13,29.804,0.0623,0.025,0.021
Alfa Romeo,13,2021,alfa,+2 Laps +2 Laps,1.6,-0.059882803531030954,13,19.729,0.8258,-0.099,0.006
Alfa Romeo,13,2022,alfa,+1 Lap Power Unit,0.8,-1.8874172520336154,13,22.296,0.0,-0.103,0.194
Alfa Romeo,14,2019,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,14,26.515,2.3872,-0.11,0.007
Alfa Romeo,14,2020,alfa,+1 Lap Gearbox,0.8,-1.8874172520336154,14,26.969,0.1393,-0.046,0.087
Alfa Romeo,14,2021,alfa,Finished Finished,2.0,0.853884420720261,14,30.084,2.8167,-0.111,-0.095
Alfa Romeo,14,2022,alfa,Finished Accident,1.6,-0.059882803531030954,14,23.554,0.2687,-0.074,0.004
Alfa Romeo,15,2019,alfa,Finished Collision,1.6,-0.059882803531030954,15,29.465,0.0333,0.149,-0.009
Alfa Romeo,15,2020,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,15,22.281,4.6152,-0.112,0.007
Alfa Romeo,15,2021,alfa,Finished +1 Lap,1.8,0.39700080859461506,15,30.049,0.0459,0.073,0.029
Alfa Romeo,15,2022,alfa,Finished Engine,1.0,-1.4305336399079696,15,21.443,2.5431,-0.11,0.157
Alfa Romeo,16,2019,alfa,Finished Finished,2.0,0.853884420720261,16,32.056,5.8912,-0.113,-0.096
Alfa Romeo,16,2020,alfa,Finished Finished,2.0,0.853884420720261,16,25.425,1.3261,-0.107,-0.091
Alfa Romeo,16,2021,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,16,23.129,0.0,-0.103,0.006
Alfa Romeo,16,2022,alfa,Finished +1 Lap,1.8,0.39700080859461506,16,25.062,0.0,-0.104,-0.041
Alfa Romeo,17,2019,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,17,23.511,0.411,-0.088,0.005
Alfa Romeo,17,2020,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,17,21.723,0.0,-0.102,0.006
Alfa Romeo,17,2021,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,17,24.037,0.1488,-0.042,0.003
Alfa Romeo,17,2022,alfa,Finished Collision,1.6,-0.059882803531030954,17,32.167,0.0,-0.106,0.006
Alfa Romeo,18,2019,alfa,+1 Lap Overheating,0.9,-1.6589754459707924,18,30.944,0.0591,0.027,-0.045
Alfa Romeo,18,2021,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,18,23.014,0.8615,-0.101,0.006
Alfa Romeo,18,2022,alfa,Finished Finished,2.0,0.853884420720261,18,10.754,6.6546,-0.111,-0.095
Alfa Romeo,19,2019,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,19,24.53,0.3767,-0.086,0.005
Alfa Romeo,19,2021,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,19,17.99,0.0088,1.518,-0.091
Alfa Romeo,19,2022,alfa,Finished Spun off,1.0,-1.4305336399079696,19,25.592,0.8171,-0.102,0.146
Alfa Romeo,20,2019,alfa,Finished Finished,2.0,0.853884420720261,20,23.357,0.1131,-0.017,-0.015
Alfa Romeo,20,2021,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,20,27.896,0.334,-0.087,0.005
Alfa Romeo,20,2022,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,20,24.04,0.0,-0.104,0.006
Alfa Romeo,21,2019,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,21,22.026,0.0597,0.082,-0.005
Alfa Romeo,21,2021,alfa,Finished +1 Lap,1.8,0.39700080859461506,21,16.607,0.7966,-0.095,-0.038
Alfa Romeo,21,2022,alfa,Finished Finished,2.0,0.853884420720261,21,24.492,0.5257,-0.094,-0.08
Alfa Romeo,22,2021,alfa,Gearbox Brakes,0.0,-3.7149517005362,22,22.097,0.0,-0.103,0.383
Alfa Romeo,22,2022,alfa,+1 Lap +1 Lap,1.6,-0.059882803531030954,22,22.504,0.0,-0.103,0.006
AlphaTauri,1,2020,alphatauri,Finished Suspension,1.0,-1.4305336399079696,1,22.398,0.2028,-0.057,0.082
AlphaTauri,1,2021,alphatauri,Finished Retired,1.0,-1.4305336399079696,1,28.815,5.9486,-0.113,0.162
AlphaTauri,1,2022,alphatauri,Finished Power Unit,1.0,-1.4305336399079696,1,25.224,1.0451,-0.105,0.15
AlphaTauri,2,2020,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,2,22.136,0.175,-0.048,0.003
AlphaTauri,2,2021,alphatauri,Finished Finished,2.0,0.853884420720261,2,31.282,0.5129,-0.098,-0.084
AlphaTauri,2,2022,alphatauri,Finished Power Unit,1.0,-1.4305336399079696,2,22.82,0.0,-0.103,0.147
AlphaTauri,3,2020,alphatauri,+1 Lap Engine,0.8,-1.8874172520336154,3,22.837,0.1561,-0.042,0.079
AlphaTauri,3,2021,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,3,22.008,0.4098,-0.086,-0.034
AlphaTauri,3,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,3,18.733,0.0,-0.101,-0.04
AlphaTauri,4,2020,alphatauri,Finished Accident,1.6,-0.059882803531030954,4,29.414,0.0,-0.106,0.006
AlphaTauri,4,2021,alphatauri,+1 Lap Electrical,0.8,-1.8874172520336154,4,27.054,1.398,-0.108,0.204
AlphaTauri,4,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,4,30.392,0.0,-0.106,-0.042
AlphaTauri,5,2020,alphatauri,Finished Finished,2.0,0.853884420720261,5,28.257,0.0265,0.231,0.197
AlphaTauri,5,2021,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,5,24.429,0.0,-0.104,-0.041
AlphaTauri,5,2022,alphatauri,Finished Suspension,1.0,-1.4305336399079696,5,19.263,0.439,-0.084,0.12
AlphaTauri,6,2020,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,6,22.377,0.2503,-0.068,0.004
AlphaTauri,6,2021,alphatauri,Finished Finished,2.0,0.853884420720261,6,18.674,2.1514,-0.108,-0.092
AlphaTauri,6,2022,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,6,24.22,2.5197,-0.11,0.007
AlphaTauri,7,2020,alphatauri,Finished Finished,2.0,0.853884420720261,7,22.953,0.0,-0.103,-0.088
AlphaTauri,7,2021,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,7,30.559,0.0,-0.106,-0.042
AlphaTauri,7,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,7,29.495,3.1189,-0.112,-0.044
AlphaTauri,8,2020,alphatauri,Finished Finished,2.0,0.853884420720261,8,24.898,0.4895,-0.093,-0.079
AlphaTauri,8,2021,alphatauri,+1 Lap Collision,1.4,-0.5167664156566775,8,21.234,0.0,-0.102,0.053
AlphaTauri,8,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,8,26.535,5.2091,-0.112,-0.044
AlphaTauri,9,2020,alphatauri,Finished Collision,1.6,-0.059882803531030954,9,20.764,4.5842,-0.112,0.007
AlphaTauri,9,2021,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,9,22.574,2.2712,-0.109,-0.043
AlphaTauri,9,2022,alphatauri,Finished Accident,1.6,-0.059882803531030954,9,23.491,0.0809,0.022,-0.001
AlphaTauri,10,2020,alphatauri,Finished Finished,2.0,0.853884420720261,10,29.608,0.1914,-0.069,-0.059
AlphaTauri,10,2021,alphatauri,Finished Finished,2.0,0.853884420720261,10,34.03,0.0,-0.107,-0.091
AlphaTauri,10,2022,alphatauri,Finished Collision damage,1.0,-1.4305336399079696,10,40.858,12.9757,-0.114,0.163
AlphaTauri,11,2020,alphatauri,Finished Finished,2.0,0.853884420720261,11,24.785,0.1549,-0.047,-0.04
AlphaTauri,11,2021,alphatauri,Finished Finished,2.0,0.853884420720261,11,32.107,11.4438,-0.114,-0.097
AlphaTauri,11,2022,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,11,23.8,2.073,-0.109,0.007
AlphaTauri,12,2020,alphatauri,+1 Lap +2 Laps,1.6,-0.059882803531030954,12,27.922,1.0133,-0.105,0.006
AlphaTauri,12,2022,alphatauri,Finished Undertray,1.3,-0.7452082217195002,12,36.641,0.0,-0.107,0.08
