Constructor,Race ID,Year,status_value,StatusComponent,Round,Mean,StdDev,intermediate,PitStopComponent,ConstructorConfidance
Ferrari,12,2022,2.0,1.0,12,36.671,0.0,36.671,0.025,0.05
Ferrari,13,2018,0.0,0.5,13,25.913249999999998,4.1560201064239335,107.69598802278999,0.008,0.0
Ferrari,13,2019,0.0,0.5,13,26.56925,3.837575202464593,101.96149494808239,0.009,0.0
Ferrari,13,2020,0.0,0.5,13,32.539249999999996,3.7345844648367494,121.52057754743919,0.007,0.0
Ferrari,13,2021,0.0,0.5,13,18.6725,0.0120208152801721,0.22445867331901354,4.012,0.0
Ferrari,13,2022,0.0,0.5,13,21.402,0.0,21.402,0.042,0.0
Ferrari,14,2018,2.0,1.0,14,26.061,2.799435746717542,72.95609499520586,0.012,0.024
Ferrari,14,2019,2.0,1.0,14,29.018583333333332,5.014726556747811,145.52026048086609,0.006,0.012
Ferrari,14,2020,2.0,1.0,14,27.886000000000003,0.6965001794687495,19.42260400466555,0.046,0.092
Ferrari,14,2021,2.0,1.0,14,25.542,0.54447222151364,13.906909481901396,0.065,0.13
Ferrari,14,2022,2.0,1.0,14,23.222,0.0,23.222,0.039,0.078
Ferrari,15,2018,2.0,1.0,15,29.1175,0.0,29.1175,0.031,0.062
Ferrari,15,2019,2.0,1.0,15,29.688,0.0,29.688,0.03,0.06
Ferrari,15,2020,2.0,1.0,15,876.9752499999998,399.2540554147509,350135.92506086495,0.0,0.0
Ferrari,15,2021,2.0,1.0,15,29.679250000000003,0.01025304832720425,0.3043027845651768,2.959,5.918
Ferrari,15,2022,2.0,1.0,15,20.7735,2.287490437138481,47.51918259589623,0.019,0.038
Ferrari,16,2018,2.0,1.0,16,29.664499999999997,0.0,29.664499999999997,0.03,0.06
Ferrari,16,2019,2.0,1.0,16,30.317500000000003,4.0566716036672235,122.98814134418106,0.007,0.014
Ferrari,16,2020,2.0,1.0,16,26.803749999999997,2.114602829138369,56.679285581517554,0.016,0.032
