Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,raceID,year
0 days 01:22:03.501202453,23.617791411042944,29.49079754601227,1010.3858895705521,0.0,28.61042944785276,124.42944785276073,0.3049079754601227,1,2022
0 days 01:16:31.433098684,25.42039473684211,59.66447368421053,1012.7776315789474,0.0,28.40921052631579,304.50657894736844,2.359210526315789,2,2022
0 days 01:17:57.908685897,26.69743589743589,43.65384615384615,1014.2461538461537,0.0,37.40833333333334,272.8397435897436,1.8128205128205126,3,2022
0 days 01:19:04.628917721,12.899367088607592,83.17088607594937,1001.0386075949366,0.0,17.41898734177215,87.80379746835443,1.482278481012658,4,2022
0 days 01:21:01.049635802,30.617283950617285,58.858024691358025,1009.3049382716049,0.05555555555555555,42.81975308641975,174.38888888888889,2.2672839506172835,5,2022
0 days 01:21:43.212158536,36.56585365853658,7.109756097560975,996.0158536585366,0.0,48.957317073170735,176.82926829268294,3.488414634146341,6,2022
0 days 02:02:04.136706122,22.27469387755102,75.66530612244898,1002.9922448979592,0.43673469387755104,31.038367346938774,206.38367346938776,0.9902040816326529,7,2022
0 days 01:20:46.028664596,25.435403726708078,59.49068322981366,1009.9012422360249,0.0,47.14968944099379,266.2919254658385,1.529192546583851,8,2022
0 days 01:21:19.442277777,20.762962962962963,28.925925925925927,1012.4012345679013,0.0,41.261111111111106,141.24074074074073,3.552469135802469,9,2022
0 days 01:41:50.191241379,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,30.026108374384233,160.49261083743843,1.4561576354679802,10,2022
0 days 01:15:42.853973684,20.25592105263158,35.13815789473684,939.7125,0.0,30.74671052631579,165.43421052631578,1.2552631578947369,11,2022
0 days 01:12:18.439054687,30.164843750000003,47.734375,967.9078125000001,0.0,54.46171875,118.1484375,1.9460937499999997,12,2022
0 days 01:23:05.695485029,18.559880239520957,69.31736526946108,985.5814371257484,0.2754491017964072,26.720958083832333,285.23353293413174,4.0341317365269465,13,2022
0 days 01:17:57.653762820,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,257.1474358974359,1.5192307692307692,14,2022
0 days 01:21:27.280742331,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,138.34969325153375,1.061963190184049,15,2022
0 days 01:13:35.473170068,27.73469387755102,33.14965986394558,993.3401360544218,0.0,43.138775510204084,177.69387755102042,1.3612244897959185,16,2022
0 days 02:07:18.643772549,26.23254901960784,87.44705882352942,1008.1439215686274,0.1803921568627451,28.973333333333333,108.93333333333334,0.9298039215686275,17,2022
0 days 02:07:45.817513725,16.717647058823534,86.21176470588236,1015.7062745098038,0.9803921568627451,19.930588235294113,269.38039215686274,2.04078431372549,18,2022
0 days 01:24:59.824935294,29.28529411764706,49.62352941176471,991.1994117647057,0.0,35.523529411764706,107.73529411764706,5.487058823529411,19,2022
0 days 01:22:09.192133333,24.312727272727273,34.442424242424245,780.4072727272726,0.0,41.689090909090915,197.79393939393938,1.336969696969697,20,2022
0 days 01:23:51.283658682,23.010778443113775,76.07784431137725,922.1604790419161,0.0,46.04910179640718,161.4431137724551,1.444311377245509,21,2022
0 days 01:17:22.908890322,28.575483870967748,61.68387096774194,1013.5206451612902,0.0,34.310322580645156,290.7935483870968,2.608387096774193,22,2022
