Driver,FastestLap,RaceID,year,EventName
GAS,0 days 00:01:30.649000,1,2018,Australian
PER,0 days 00:01:27.633000,1,2018,Australian
ALO,0 days 00:01:26.978000,1,2018,Australian
LEC,0 days 00:01:28.759000,1,2018,Australian
STR,0 days 00:01:28.511000,1,2018,Australian
VAN,0 days 00:01:26.958000,1,2018,Australian
MAG,0 days 00:01:29.534000,1,2018,Australian
HUL,0 days 00:01:27.081000,1,2018,Australian
HAR,0 days 00:01:28.176000,1,2018,Australian
RIC,0 days 00:01:25.945000,1,2018,Australian
OCO,0 days 00:01:27.600000,1,2018,Australian
VER,0 days 00:01:26.880000,1,2018,Australian
SIR,0 days 00:01:32.573000,1,2018,Australian
HAM,0 days 00:01:26.444000,1,2018,Australian
VET,0 days 00:01:26.469000,1,2018,Australian
SAI,0 days 00:01:27.944000,1,2018,Australian
RAI,0 days 00:01:26.373000,1,2018,Australian
BOT,0 days 00:01:27.019000,1,2018,Australian
GRO,0 days 00:01:28.805000,1,2018,Australian
ERI,0 days 00:01:32.210000,1,2018,Australian
GAS,0 days 00:01:34.863000,2,2018,Bahrain
PER,0 days 00:01:35.075000,2,2018,Bahrain
ALO,0 days 00:01:34.168000,2,2018,Bahrain
LEC,0 days 00:01:35.058000,2,2018,Bahrain
STR,0 days 00:01:35.266000,2,2018,Bahrain
VAN,0 days 00:01:35.131000,2,2018,Bahrain
MAG,0 days 00:01:34.327000,2,2018,Bahrain
HUL,0 days 00:01:34.667000,2,2018,Bahrain
HAR,0 days 00:01:34.689000,2,2018,Bahrain
RIC,,2,2018,Bahrain
OCO,0 days 00:01:35.043000,2,2018,Bahrain
VER,,2,2018,Bahrain
SIR,0 days 00:01:34.563000,2,2018,Bahrain
HAM,0 days 00:01:33.953000,2,2018,Bahrain
VET,0 days 00:01:34.453000,2,2018,Bahrain
SAI,0 days 00:01:35.535000,2,2018,Bahrain
RAI,0 days 00:01:34.337000,2,2018,Bahrain
BOT,0 days 00:01:33.740000,2,2018,Bahrain
GRO,0 days 00:01:34.053000,2,2018,Bahrain
ERI,0 days 00:01:35.093000,2,2018,Bahrain
RIC,0 days 00:01:35.785000,3,2018,Chinese
BOT,0 days 00:01:36.987000,3,2018,Chinese
