Driver ID,Stop,Lap,Time,Duration
brendon_hartley,1,1,16:15:04,22.213
raikkonen,1,18,16:40:07,21.421
hamilton,1,19,16:41:30,21.821
leclerc,1,20,16:44:03,22.242
max_verstappen,1,21,16:45:06,20.953
kevin_magnussen,1,22,16:46:31,21.983
sainz,1,22,16:46:46,23.868
brendon_hartley,2,22,16:47:37,22.296
ocon,1,23,16:48:25,21.854
grosjean,1,24,16:49:31,23.054
hulkenberg,1,24,16:49:35,22.628
perez,1,24,16:49:51,22.327
vandoorne,1,25,16:51:17,22.474
bottas,1,25,16:51:21,21.664
stroll,1,25,16:51:46,25.504
vettel,1,26,16:52:19,21.787
ricciardo,1,26,16:52:59,21.440
alonso,1,26,16:53:09,22.573
leclerc,2,27,16:56:25,22.836
stroll,2,29,16:59:57,21.397
max_verstappen,1,2,18:18:14,30.381
leclerc,1,3,18:19:24,25.563
perez,1,9,18:29:30,24.992
vandoorne,1,10,18:31:05,25.081
stroll,1,10,18:31:12,33.612
kevin_magnussen,1,13,18:35:49,25.106
alonso,1,14,18:37:30,24.993
gasly,1,15,18:38:59,24.835
hulkenberg,1,15,18:39:05,24.454
ocon,1,15,18:39:12,24.719
sainz,1,16,18:40:52,25.768
vettel,1,18,18:43:25,24.524
grosjean,1,18,18:44:11,25.011
raikkonen,1,19,18:45:09,25.018
bottas,1,20,18:46:40,26.105
brendon_hartley,1,20,18:47:23,36.646
sirotkin,1,22,18:51:05,24.672
ericsson,1,23,18:52:22,25.194
hamilton,1,26,18:56:29,24.302
sainz,2,26,18:57:29,25.307
kevin_magnussen,2,27,18:58:45,24.629
vandoorne,2,28,19:00:38,25.131
grosjean,2,30,19:03:55,25.527
stroll,2,30,19:04:24,24.638
perez,2,32,19:07:17,24.677
gasly,2,34,19:09:50,24.957
leclerc,2,34,19:10:46,25.139
ocon,2,35,19:12:01,24.596
hulkenberg,2,39,19:18:06,24.382
alonso,2,39,19:18:09,24.581
brendon_hartley,1,10,14:30:52,23.172
ocon,1,11,14:32:18,23.281
sainz,1,12,14:33:53,23.935
perez,1,12,14:34:05,22.856
hulkenberg,1,13,14:35:30,23.654
grosjean,1,16,14:40:41,22.981
max_verstappen,1,17,14:41:50,22.715
ricciardo,1,17,14:41:56,23.042
hamilton,1,18,14:43:33,22.464
bottas,1,19,14:45:02,22.097
vettel,1,20,14:46:38,23.009
gasly,1,20,14:47:48,23.950
leclerc,1,21,14:49:28,23.392
vandoorne,1,22,14:50:55,23.730
stroll,1,23,14:52:34,22.661
kevin_magnussen,1,24,14:53:57,22.973
raikkonen,1,27,14:58:28,22.913
sirotkin,1,28,15:01:08,23.716
alonso,1,29,15:02:24,24.110
ericsson,1,29,15:03:02,22.785
max_verstappen,2,31,15:05:06,22.596
brendon_hartley,2,30,15:05:08,24.070
ricciardo,2,31,15:05:15,22.691
hulkenberg,2,31,15:06:04,23.297
sainz,2,31,15:06:18,23.117
ocon,2,31,15:06:24,22.637
gasly,2,31,15:07:01,34.650
perez,2,32,15:08:44,22.334
sirotkin,2,33,15:11:07,22.723
grosjean,2,46,15:33:38,23.735
raikkonen,1,1,16:16:15,30.012
brendon_hartley,1,1,16:16:35,21.376
alonso,1,1,16:16:58,56.710
kevin_magnussen,1,1,16:17:11,35.608
ericsson,1,1,16:17:16,44.107
perez,1,2,16:19:26,28.109
grosjean,1,2,16:19:32,21.725
gasly,1,12,16:40:48,20.782
sainz,1,15,16:46:02,21.516
vandoorne,1,17,16:49:58,21.103
ericsson,2,18,16:52:18,25.378
hamilton,1,22,16:58:07,20.377
brendon_hartley,2,22,16:59:24,20.809
stroll,1,23,17:00:38,19.737
leclerc,1,24,17:02:20,21.058
vandoorne,2,25,17:05:01,20.887
vettel,1,30,17:12:13,20.037
