Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish
barrichello,Rubens,Barrichello,,BAR,1972-05-23,Brazilian
baumgartner,Zsolt,Baumgartner,,,1981-01-01,Hungarian
button,Jenson,Button,22,BUT,1980-01-19,British
coulthard,David,Coulthard,,COU,1971-03-27,British
matta,Cristiano,da Matta,,,1973-09-19,Brazilian
firman,Ralph,Firman,,,1975-05-20,Irish
fisichella,Giancarlo,Fisichella,,FIS,1973-01-14,Italian
frentzen,Heinz-Harald,Frentzen,,,1967-05-18,German
gene,Marc,Gené,,,1974-03-29,Spanish
heidfeld,Nick,Heidfeld,,HEI,1977-05-10,German
kiesa,Nicolas,Kiesa,,,1978-03-03,Danish
montoya,Juan,Pablo Montoya,,MON,1975-09-20,Colombian
panis,Olivier,Panis,,,1966-09-02,French
pizzonia,Antônio,Pizzonia,,PIZ,1980-09-11,Brazilian
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish
sato,Takuma,Sato,,SAT,1977-01-28,Japanese
ralf_schumacher,Ralf,Schumacher,,SCH,1975-06-30,German
michael_schumacher,Michael,Schumacher,,MSC,1969-01-03,German
trulli,Jarno,Trulli,,TRU,1974-07-13,Italian
verstappen,Jos,Verstappen,,,1972-03-04,Dutch
villeneuve,Jacques,Villeneuve,,VIL,1971-04-09,Canadian
webber,Mark,Webber,,WEB,1976-08-27,Australian
wilson,Justin,Wilson,,,1978-07-31,British
