Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality
albers,Christijan,Albers,,ALB,1979-04-16,Dutch
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish
barrichello,Rubens,Barrichello,,BAR,1972-05-23,Brazilian
button,Jenson,Button,22,BUT,1980-01-19,British
coulthard,David,Coulthard,,COU,1971-03-27,British
rosa,Pedro,de la Rosa,,DLR,1971-02-24,Spanish
doornbos,Robert,Doornbos,,DOO,1981-09-23,Dutch
fisichella,Giancarlo,Fisichella,,FIS,1973-01-14,Italian
heidfeld,Nick,Heidfeld,,HEI,1977-05-10,German
ide,Yuji,Ide,,IDE,1975-01-21,Japanese
klien,Christian,Klien,,KLI,1983-02-07,Austrian
kubica,Robert,Kubica,88,KUB,1984-12-07,Polish
liuzzi,Vitantonio,Liuzzi,,LIU,1980-08-06,Italian
massa,Felipe,Massa,19,MAS,1981-04-25,Brazilian
montagny,Franck,Montagny,,FMO,1978-01-05,French
monteiro,Tiago,Monteiro,,TMO,1976-07-24,Portuguese
montoya,Juan,Pablo Montoya,,MON,1975-09-20,Colombian
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish
rosberg,Nico,Rosberg,6,ROS,1985-06-27,German
sato,Takuma,Sato,,SAT,1977-01-28,Japanese
ralf_schumacher,Ralf,Schumacher,,SCH,1975-06-30,German
michael_schumacher,Michael,Schumacher,,MSC,1969-01-03,German
speed,Scott,Speed,,SPE,1983-01-24,American
trulli,Jarno,Trulli,,TRU,1974-07-13,Italian
villeneuve,Jacques,Villeneuve,,VIL,1971-04-09,Canadian
webber,Mark,Webber,,WEB,1976-08-27,Australian
yamamoto,Sakon,Yamamoto,,YAM,1982-07-09,Japanese
