Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality
albon,Alexander,Albon,23,ALB,1996-03-23,Thai
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish
de_vries,Nyck,de Vries,21,DEV,1995-02-06,Dutch
gasly,Pierre,Gasly,10,GAS,1996-02-07,French
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British
hulkenberg,Nico,Hülkenberg,27,HUL,1987-08-19,German
lawson,Liam,Lawson,40,LAW,2002-02-11,New Zealander
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque
kevin_magnussen,Kevin,Magnussen,20,MAG,1992-10-05,Danish
norris,Lando,Norris,4,NOR,1999-11-13,British
ocon,Esteban,Ocon,31,OCO,1996-09-17,French
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican
piastri,Oscar,Piastri,81,PIA,2001-04-06,Australian
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian
russell,George,Russell,63,RUS,1998-02-15,British
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish
sargeant,Logan,Sargeant,2,SAR,2000-12-31,American
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian
tsunoda,Yuki,Tsunoda,22,TSU,2000-05-11,Japanese
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch
zhou,Guanyu,Zhou,24,ZHO,1999-05-30,Chinese
