Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish
barrichello,Rubens,Barrichello,,BAR,1972-05-23,Brazilian
baumgartner,Zsolt,Baumgartner,,,1981-01-01,Hungarian
bruni,Gianmaria,Bruni,,,1981-05-30,Italian
button,Jenson,Button,22,BUT,1980-01-19,British
coulthard,David,Coulthard,,COU,1971-03-27,British
matta,Cristiano,da Matta,,,1973-09-19,Brazilian
fisichella,Giancarlo,Fisichella,,FIS,1973-01-14,Italian
gene,Marc,Gené,,,1974-03-29,Spanish
glock,Timo,Glock,,GLO,1982-03-18,German
heidfeld,Nick,Heidfeld,,HEI,1977-05-10,German
klien,Christian,Klien,,KLI,1983-02-07,Austrian
massa,Felipe,Massa,19,MAS,1981-04-25,Brazilian
montoya,Juan,Pablo Montoya,,MON,1975-09-20,Colombian
panis,Olivier,Panis,,,1966-09-02,French
pantano,Giorgio,Pantano,,,1979-02-04,Italian
pizzonia,Antônio,Pizzonia,,PIZ,1980-09-11,Brazilian
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish
sato,Takuma,Sato,,SAT,1977-01-28,Japanese
michael_schumacher,Michael,Schumacher,,MSC,1969-01-03,German
ralf_schumacher,Ralf,Schumacher,,SCH,1975-06-30,German
trulli,Jarno,Trulli,,TRU,1974-07-13,Italian
villeneuve,Jacques,Villeneuve,,VIL,1971-04-09,Canadian
webber,Mark,Webber,,WEB,1976-08-27,Australian
zonta,Ricardo,Zonta,,ZON,1976-03-23,Brazilian
