Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,McLaren,1,1:26.800,,
1,button,Jenson,Button,McLaren,2,1:26.832,,
1,grosjean,Romain,Grosjean,Lotus F1,3,1:26.498,,
1,michael_schumacher,Michael,Schumacher,Mercedes,4,1:26.586,,
1,webber,Mark,Webber,Red Bull,5,1:27.117,,
1,vettel,Sebastian,Vettel,Red Bull,6,1:26.773,,
1,rosberg,Nico,Rosberg,Mercedes,7,1:26.763,,
1,maldonado,Pastor,Maldonado,Williams,8,1:26.803,,
1,hulkenberg,Nico,Hülkenberg,Force India,9,1:27.464,,
1,ricciardo,Daniel,Ricciardo,Toro Rosso,10,1:27.024,,
1,vergne,Jean-Éric,Vergne,Toro Rosso,11,1:26.493,,
1,alonso,Fernando,Alonso,Ferrari,12,1:26.688,,
1,kobayashi,Kamui,Kobayashi,Sauber,13,1:26.182,,
1,bruno_senna,Bruno,Senna,Williams,14,1:27.004,,
1,resta,Paul,di Resta,Force India,15,1:27.469,,
1,massa,Felipe,Massa,Ferrari,16,1:27.633,,
1,perez,Sergio,Pérez,Sauber,17,1:26.596,,
1,raikkonen,Kimi,Räikkönen,Lotus F1,18,1:27.758,,
1,kovalainen,Heikki,Kovalainen,Caterham,19,1:28.679,,
1,petrov,Vitaly,Petrov,Caterham,20,1:29.018,,
1,glock,Timo,Glock,Marussia,21,1:30.923,,
1,pic,Charles,Pic,Marussia,22,1:31.670,,
1,rosa,Pedro,de la Rosa,HRT,23,1:33.495,,
1,karthikeyan,Narain,Karthikeyan,HRT,24,1:33.643,,
2,hamilton,Lewis,Hamilton,McLaren,1,1:37.813,,
2,button,Jenson,Button,McLaren,2,1:37.575,,
2,michael_schumacher,Michael,Schumacher,Mercedes,3,1:37.517,,
2,webber,Mark,Webber,Red Bull,4,1:37.172,,
2,raikkonen,Kimi,Räikkönen,Lotus F1,5,1:37.961,,
2,vettel,Sebastian,Vettel,Red Bull,6,1:38.102,,
2,grosjean,Romain,Grosjean,Lotus F1,7,1:38.058,,
2,rosberg,Nico,Rosberg,Mercedes,8,1:37.696,,
2,alonso,Fernando,Alonso,Ferrari,9,1:38.151,,
2,perez,Sergio,Pérez,Sauber,10,1:37.933,,
2,maldonado,Pastor,Maldonado,Williams,11,1:37.789,,
2,massa,Felipe,Massa,Ferrari,12,1:38.381,,
2,bruno_senna,Bruno,Senna,Williams,13,1:38.437,,
2,resta,Paul,di Resta,Force India,14,1:38.325,,
2,ricciardo,Daniel,Ricciardo,Toro Rosso,15,1:38.419,,
2,hulkenberg,Nico,Hülkenberg,Force India,16,1:38.303,,
2,kobayashi,Kamui,Kobayashi,Sauber,17,1:38.372,,
2,vergne,Jean-Éric,Vergne,Toro Rosso,18,1:39.077,,
2,kovalainen,Heikki,Kovalainen,Caterham,19,1:39.306,,
2,petrov,Vitaly,Petrov,Caterham,20,1:39.567,,
2,glock,Timo,Glock,Marussia,21,1:40.903,,
2,pic,Charles,Pic,Marussia,22,1:41.250,,
2,rosa,Pedro,de la Rosa,HRT,23,1:42.914,,
2,karthikeyan,Narain,Karthikeyan,HRT,24,1:43.655,,
3,rosberg,Nico,Rosberg,Mercedes,1,1:36.875,,
3,hamilton,Lewis,Hamilton,McLaren,2,1:36.763,,
3,michael_schumacher,Michael,Schumacher,Mercedes,3,1:36.797,,
3,kobayashi,Kamui,Kobayashi,Sauber,4,1:36.863,,
3,raikkonen,Kimi,Räikkönen,Lotus F1,5,1:36.850,,
3,button,Jenson,Button,McLaren,6,1:36.746,,
3,webber,Mark,Webber,Red Bull,7,1:36.682,,
3,perez,Sergio,Pérez,Sauber,8,1:36.198,,
3,alonso,Fernando,Alonso,Ferrari,9,1:36.292,,
3,grosjean,Romain,Grosjean,Lotus F1,10,1:36.343,,
3,vettel,Sebastian,Vettel,Red Bull,11,1:36.911,,
3,massa,Felipe,Massa,Ferrari,12,1:36.556,,
3,maldonado,Pastor,Maldonado,Williams,13,1:36.528,,
3,bruno_senna,Bruno,Senna,Williams,14,1:36.674,,
3,resta,Paul,di Resta,Force India,15,1:36.639,,
3,hulkenberg,Nico,Hülkenberg,Force India,16,1:36.921,,
3,ricciardo,Daniel,Ricciardo,Toro Rosso,17,1:36.933,,
3,vergne,Jean-Éric,Vergne,Toro Rosso,18,1:37.714,,
3,kovalainen,Heikki,Kovalainen,Caterham,19,1:38.463,,
3,petrov,Vitaly,Petrov,Caterham,20,1:38.677,,
3,glock,Timo,Glock,Marussia,21,1:39.282,,
3,pic,Charles,Pic,Marussia,22,1:39.717,,
3,rosa,Pedro,de la Rosa,HRT,23,1:40.411,,
3,karthikeyan,Narain,Karthikeyan,HRT,24,1:41.000,,
4,vettel,Sebastian,Vettel,Red Bull,1,1:34.308,,
4,hamilton,Lewis,Hamilton,McLaren,2,1:34.813,,
4,webber,Mark,Webber,Red Bull,3,1:34.015,,
4,button,Jenson,Button,McLaren,4,1:34.792,,
4,rosberg,Nico,Rosberg,Mercedes,5,1:34.588,,
4,ricciardo,Daniel,Ricciardo,Toro Rosso,6,1:33.988,,
4,grosjean,Romain,Grosjean,Lotus F1,7,1:34.041,,
4,perez,Sergio,Pérez,Sauber,8,1:33.814,,
4,alonso,Fernando,Alonso,Ferrari,9,1:34.760,,
4,resta,Paul,di Resta,Force India,10,1:36.624,,
4,raikkonen,Kimi,Räikkönen,Lotus F1,11,1:34.552,,
4,kobayashi,Kamui,Kobayashi,Sauber,12,1:34.131,,
4,hulkenberg,Nico,Hülkenberg,Force India,13,1:34.601,,
4,massa,Felipe,Massa,Ferrari,14,1:34.372,,
4,bruno_senna,Bruno,Senna,Williams,15,1:34.466,,
4,kovalainen,Heikki,Kovalainen,Caterham,16,1:34.852,,
4,maldonado,Pastor,Maldonado,Williams,17,1:34.639,,
4,michael_schumacher,Michael,Schumacher,Mercedes,18,1:34.865,,
4,vergne,Jean-Éric,Vergne,Toro Rosso,19,1:35.014,,
4,petrov,Vitaly,Petrov,Caterham,20,1:35.823,,
4,pic,Charles,Pic,Marussia,21,1:37.683,,
4,rosa,Pedro,de la Rosa,HRT,22,1:37.883,,
4,glock,Timo,Glock,Marussia,23,1:37.905,,
4,karthikeyan,Narain,Karthikeyan,HRT,24,1:38.314,,
5,hamilton,Lewis,Hamilton,McLaren,1,1:22.583,,
5,maldonado,Pastor,Maldonado,Williams,2,1:23.380,,
5,alonso,Fernando,Alonso,Ferrari,3,1:23.276,,
5,grosjean,Romain,Grosjean,Lotus F1,4,1:23.248,,
5,raikkonen,Kimi,Räikkönen,Lotus F1,5,1:23.406,,
5,perez,Sergio,Pérez,Sauber,6,1:24.261,,
5,rosberg,Nico,Rosberg,Mercedes,7,1:23.370,,
5,vettel,Sebastian,Vettel,Red Bull,8,1:23.850,,
5,michael_schumacher,Michael,Schumacher,Mercedes,9,1:23.757,,
5,kobayashi,Kamui,Kobayashi,Sauber,10,1:23.386,,
5,button,Jenson,Button,McLaren,11,1:23.510,,
5,webber,Mark,Webber,Red Bull,12,1:23.592,,
5,resta,Paul,di Resta,Force India,13,1:23.852,,
5,hulkenberg,Nico,Hülkenberg,Force India,14,1:23.720,,
5,vergne,Jean-Éric,Vergne,Toro Rosso,15,1:24.362,,
5,ricciardo,Daniel,Ricciardo,Toro Rosso,16,1:23.906,,
5,massa,Felipe,Massa,Ferrari,17,1:23.886,,
5,bruno_senna,Bruno,Senna,Williams,18,1:24.981,,
5,petrov,Vitaly,Petrov,Caterham,19,1:25.277,,
5,kovalainen,Heikki,Kovalainen,Caterham,20,1:25.507,,
5,pic,Charles,Pic,Marussia,21,1:26.582,,
5,glock,Timo,Glock,Marussia,22,1:27.032,,
5,rosa,Pedro,de la Rosa,HRT,23,1:27.555,,
5,karthikeyan,Narain,Karthikeyan,HRT,24,1:31.122,,
6,michael_schumacher,Michael,Schumacher,Mercedes,1,1:15.873,,
6,webber,Mark,Webber,Red Bull,2,1:16.013,,
6,rosberg,Nico,Rosberg,Mercedes,3,1:15.900,,
6,hamilton,Lewis,Hamilton,McLaren,4,1:16.063,,
6,grosjean,Romain,Grosjean,Lotus F1,5,1:15.718,,
6,alonso,Fernando,Alonso,Ferrari,6,1:16.153,,
6,massa,Felipe,Massa,Ferrari,7,1:15.983,,
6,raikkonen,Kimi,Räikkönen,Lotus F1,8,1:15.889,,
6,maldonado,Pastor,Maldonado,Williams,9,1:16.017,,
6,vettel,Sebastian,Vettel,Red Bull,10,1:15.757,,
6,hulkenberg,Nico,Hülkenberg,Force India,11,1:15.418,,
6,kobayashi,Kamui,Kobayashi,Sauber,12,1:15.648,,
6,button,Jenson,Button,McLaren,13,1:16.399,,
6,bruno_senna,Bruno,Senna,Williams,14,1:15.923,,
6,resta,Paul,di Resta,Force India,15,1:16.062,,
6,ricciardo,Daniel,Ricciardo,Toro Rosso,16,1:16.360,,
6,vergne,Jean-Éric,Vergne,Toro Rosso,17,1:16.491,,
6,kovalainen,Heikki,Kovalainen,Caterham,18,1:16.538,,
6,petrov,Vitaly,Petrov,Caterham,19,1:17.404,,
6,glock,Timo,Glock,Marussia,20,1:17.947,,
6,rosa,Pedro,de la Rosa,HRT,21,1:18.096,,
6,pic,Charles,Pic,Marussia,22,1:18.476,,
6,karthikeyan,Narain,Karthikeyan,HRT,23,1:19.310,,
7,vettel,Sebastian,Vettel,Red Bull,1,1:14.661,,
7,hamilton,Lewis,Hamilton,McLaren,2,1:14.891,,
7,alonso,Fernando,Alonso,Ferrari,3,1:14.916,,
7,webber,Mark,Webber,Red Bull,4,1:14.956,,
7,rosberg,Nico,Rosberg,Mercedes,5,1:15.098,,
7,massa,Felipe,Massa,Ferrari,6,1:15.194,,
7,grosjean,Romain,Grosjean,Lotus F1,7,1:15.163,,
7,resta,Paul,di Resta,Force India,8,1:15.019,,
7,michael_schumacher,Michael,Schumacher,Mercedes,9,1:14.892,,
7,button,Jenson,Button,McLaren,10,1:14.799,,
7,kobayashi,Kamui,Kobayashi,Sauber,11,1:15.101,,
7,raikkonen,Kimi,Räikkönen,Lotus F1,12,1:14.995,,
7,hulkenberg,Nico,Hülkenberg,Force India,13,1:15.106,,
7,ricciardo,Daniel,Ricciardo,Toro Rosso,14,1:15.552,,
7,perez,Sergio,Pérez,Sauber,15,1:15.326,,
7,bruno_senna,Bruno,Senna,Williams,16,1:14.995,,
7,maldonado,Pastor,Maldonado,Williams,17,1:14.979,,
7,kovalainen,Heikki,Kovalainen,Caterham,18,1:16.263,,
7,petrov,Vitaly,Petrov,Caterham,19,1:16.482,,
7,vergne,Jean-Éric,Vergne,Toro Rosso,20,1:16.602,,
7,rosa,Pedro,de la Rosa,HRT,21,1:17.492,,
7,glock,Timo,Glock,Marussia,22,1:17.901,,
7,pic,Charles,Pic,Marussia,23,1:18.255,,
7,karthikeyan,Narain,Karthikeyan,HRT,24,1:18.330,,
8,vettel,Sebastian,Vettel,Red Bull,1,1:39.626,,
8,hamilton,Lewis,Hamilton,McLaren,2,1:39.169,,
8,maldonado,Pastor,Maldonado,Williams,3,1:38.825,,
