Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,McLaren,1,1:26.572,,
1,kubica,Robert,Kubica,BMW Sauber,2,1:26.103,,
1,kovalainen,Heikki,Kovalainen,McLaren,3,1:25.664,,
1,massa,Felipe,Massa,Ferrari,4,1:25.994,,
1,heidfeld,Nick,Heidfeld,BMW Sauber,5,1:25.960,,
1,trulli,Jarno,Trulli,Toyota,6,1:26.427,,
1,rosberg,Nico,Rosberg,Williams,7,1:26.295,,
1,coulthard,David,Coulthard,Red Bull,8,1:26.381,,
1,glock,Timo,Glock,Toyota,9,1:26.919,,
1,vettel,Sebastian,Vettel,Toro Rosso,10,1:26.702,,
1,barrichello,Rubens,Barrichello,Honda,11,1:26.369,,
1,alonso,Fernando,Alonso,Renault,12,1:26.907,,
1,button,Jenson,Button,Honda,13,1:26.712,,
1,nakajima,Kazuki,Nakajima,Williams,14,1:26.891,,
1,webber,Mark,Webber,Red Bull,15,1:26.914,,
1,raikkonen,Kimi,Räikkönen,Ferrari,16,1:26.140,,
1,fisichella,Giancarlo,Fisichella,Force India,17,1:27.207,,
1,bourdais,Sébastien,Bourdais,Toro Rosso,18,1:27.446,,
1,sutil,Adrian,Sutil,Force India,19,1:27.859,,
1,sato,Takuma,Sato,Super Aguri,20,1:28.208,,
1,piquet_jr,Nelson,Piquet Jr.,Renault,21,1:28.330,,
1,davidson,Anthony,Davidson,Super Aguri,22,1:29.059,,
2,massa,Felipe,Massa,Ferrari,1,1:35.347,,
2,raikkonen,Kimi,Räikkönen,Ferrari,2,1:35.645,,
2,kovalainen,Heikki,Kovalainen,McLaren,3,1:35.227,,
2,hamilton,Lewis,Hamilton,McLaren,4,1:35.392,,
2,trulli,Jarno,Trulli,Toyota,5,1:35.205,,
2,kubica,Robert,Kubica,BMW Sauber,6,1:35.794,,
2,heidfeld,Nick,Heidfeld,BMW Sauber,7,1:35.729,,
2,webber,Mark,Webber,Red Bull,8,1:35.440,,
2,alonso,Fernando,Alonso,Renault,9,1:35.983,,
2,glock,Timo,Glock,Toyota,10,1:35.891,,
2,button,Jenson,Button,Honda,11,1:35.847,,
2,coulthard,David,Coulthard,Red Bull,12,1:36.058,,
2,piquet_jr,Nelson,Piquet Jr.,Renault,13,1:36.074,,
2,barrichello,Rubens,Barrichello,Honda,14,1:36.198,,
2,vettel,Sebastian,Vettel,Toro Rosso,15,1:36.111,,
2,rosberg,Nico,Rosberg,Williams,16,1:35.843,,
2,fisichella,Giancarlo,Fisichella,Force India,17,1:36.240,,
2,nakajima,Kazuki,Nakajima,Williams,18,1:36.388,,
2,bourdais,Sébastien,Bourdais,Toro Rosso,19,1:36.677,,
2,sato,Takuma,Sato,Super Aguri,20,1:37.087,,
2,sutil,Adrian,Sutil,Force India,21,1:37.101,,
2,davidson,Anthony,Davidson,Super Aguri,22,1:37.481,,
3,kubica,Robert,Kubica,BMW Sauber,1,1:32.893,,
3,massa,Felipe,Massa,Ferrari,2,1:31.937,,
3,hamilton,Lewis,Hamilton,McLaren,3,1:32.750,,
3,raikkonen,Kimi,Räikkönen,Ferrari,4,1:32.652,,
3,kovalainen,Heikki,Kovalainen,McLaren,5,1:33.057,,
3,heidfeld,Nick,Heidfeld,BMW Sauber,6,1:33.137,,
3,trulli,Jarno,Trulli,Toyota,7,1:32.493,,
3,rosberg,Nico,Rosberg,Williams,8,1:32.903,,
3,button,Jenson,Button,Honda,9,1:32.793,,
3,alonso,Fernando,Alonso,Renault,10,1:32.947,,
3,webber,Mark,Webber,Red Bull,11,1:33.194,,
3,barrichello,Rubens,Barrichello,Honda,12,1:32.944,,
3,glock,Timo,Glock,Toyota,13,1:32.800,,
3,piquet_jr,Nelson,Piquet Jr.,Renault,14,1:32.975,,
3,bourdais,Sébastien,Bourdais,Toro Rosso,15,1:33.415,,
3,nakajima,Kazuki,Nakajima,Williams,16,1:33.386,,
3,coulthard,David,Coulthard,Red Bull,17,1:33.433,,
3,fisichella,Giancarlo,Fisichella,Force India,18,1:33.501,,
3,vettel,Sebastian,Vettel,Toro Rosso,19,1:33.562,,
3,sutil,Adrian,Sutil,Force India,20,1:33.845,,
3,davidson,Anthony,Davidson,Super Aguri,21,1:34.140,,
3,sato,Takuma,Sato,Super Aguri,22,1:35.725,,
4,raikkonen,Kimi,Räikkönen,Ferrari,1,1:20.701,,
4,alonso,Fernando,Alonso,Renault,2,1:21.347,,
4,massa,Felipe,Massa,Ferrari,3,1:21.528,,
4,kubica,Robert,Kubica,BMW Sauber,4,1:21.423,,
4,hamilton,Lewis,Hamilton,McLaren,5,1:21.366,,
4,kovalainen,Heikki,Kovalainen,McLaren,6,1:21.430,,
4,webber,Mark,Webber,Red Bull,7,1:21.494,,
4,trulli,Jarno,Trulli,Toyota,8,1:21.158,,
4,heidfeld,Nick,Heidfeld,BMW Sauber,9,1:21.466,,
4,piquet_jr,Nelson,Piquet Jr.,Renault,10,1:21.409,,
4,barrichello,Rubens,Barrichello,Honda,11,1:21.548,,
4,nakajima,Kazuki,Nakajima,Williams,12,1:21.690,,
4,button,Jenson,Button,Honda,13,1:21.757,,
4,glock,Timo,Glock,Toyota,14,1:21.427,,
4,rosberg,Nico,Rosberg,Williams,15,1:21.472,,
4,bourdais,Sébastien,Bourdais,Toro Rosso,16,1:21.540,,
4,coulthard,David,Coulthard,Red Bull,17,1:21.810,,
4,vettel,Sebastian,Vettel,Toro Rosso,18,1:22.108,,
4,fisichella,Giancarlo,Fisichella,Force India,19,1:22.516,,
4,sutil,Adrian,Sutil,Force India,20,1:23.224,,
4,davidson,Anthony,Davidson,Super Aguri,21,1:23.318,,
4,sato,Takuma,Sato,Super Aguri,22,1:23.496,,
5,massa,Felipe,Massa,Ferrari,1,1:25.994,,
5,kovalainen,Heikki,Kovalainen,McLaren,2,1:26.736,,
5,hamilton,Lewis,Hamilton,McLaren,3,1:26.192,,
5,raikkonen,Kimi,Räikkönen,Ferrari,4,1:26.457,,
5,kubica,Robert,Kubica,BMW Sauber,5,1:26.761,,
5,webber,Mark,Webber,Red Bull,6,1:26.773,,
5,alonso,Fernando,Alonso,Renault,7,1:26.836,,
5,trulli,Jarno,Trulli,Toyota,8,1:26.695,,
5,heidfeld,Nick,Heidfeld,BMW Sauber,9,1:27.107,,
5,coulthard,David,Coulthard,Red Bull,10,1:26.939,,
5,rosberg,Nico,Rosberg,Williams,11,1:27.367,,
5,barrichello,Rubens,Barrichello,Honda,12,1:27.355,,
5,button,Jenson,Button,Honda,13,1:27.428,,
5,vettel,Sebastian,Vettel,Toro Rosso,14,1:27.442,,
5,glock,Timo,Glock,Toyota,15,1:26.614,,
5,nakajima,Kazuki,Nakajima,Williams,16,1:27.547,,
