Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
2,michael_schumacher,Michael,Schumacher,Ferrari,1,1:35.266,,
2,montoya,Juan,Pablo Montoya,Williams,2,1:35.497,,
2,barrichello,Rubens,Barrichello,Ferrari,3,1:35.891,,
2,ralf_schumacher,Ralf,Schumacher,Williams,4,1:36.028,,
2,raikkonen,Kimi,Räikkönen,McLaren,5,1:36.468,,
2,coulthard,David,Coulthard,McLaren,6,1:36.477,,
2,heidfeld,Nick,Heidfeld,Sauber,7,1:37.199,,
2,button,Jenson,Button,Renault,8,1:37.245,,
2,fisichella,Giancarlo,Fisichella,Jordan,9,1:37.536,,
2,salo,Mika,Salo,Toyota,10,1:37.694,,
2,frentzen,Heinz-Harald,Frentzen,Arrows,11,1:37.919,,
2,trulli,Jarno,Trulli,Renault,12,1:37.920,,
2,villeneuve,Jacques,Villeneuve,BAR,13,1:38.039,,
2,massa,Felipe,Massa,Sauber,14,1:38.057,,
2,sato,Takuma,Sato,Jordan,15,1:38.141,,
2,bernoldi,Enrique,Bernoldi,Arrows,16,1:38.284,,
2,rosa,Pedro,de la Rosa,Jaguar,17,1:38.374,,
2,panis,Olivier,Panis,BAR,18,1:38.390,,
2,mcnish,Allan,McNish,Toyota,19,1:38.959,,
2,irvine,Eddie,Irvine,Jaguar,20,1:39.121,,
2,webber,Mark,Webber,Minardi,21,1:39.454,,
2,yoong,Alex,Yoong,Minardi,22,1:40.158,,
17,michael_schumacher,Michael,Schumacher,Ferrari,1,1:31.317,,
17,barrichello,Rubens,Barrichello,Ferrari,2,1:31.749,,
17,coulthard,David,Coulthard,McLaren,3,1:32.088,,
17,raikkonen,Kimi,Räikkönen,McLaren,4,1:32.197,,
17,ralf_schumacher,Ralf,Schumacher,Williams,5,1:32.444,,
17,montoya,Juan,Pablo Montoya,Williams,6,1:32.507,,
17,sato,Takuma,Sato,Jordan,7,1:33.090,,
17,fisichella,Giancarlo,Fisichella,Jordan,8,1:33.276,,
17,villeneuve,Jacques,Villeneuve,BAR,9,1:33.349,,
17,button,Jenson,Button,Renault,10,1:33.429,,
17,trulli,Jarno,Trulli,Renault,11,1:33.547,,
17,heidfeld,Nick,Heidfeld,Sauber,12,1:33.553,,
17,salo,Mika,Salo,Toyota,13,1:33.742,,
17,irvine,Eddie,Irvine,Jaguar,14,1:33.915,,
17,massa,Felipe,Massa,Sauber,15,1:33.979,,
17,panis,Olivier,Panis,BAR,16,1:34.192,,
17,rosa,Pedro,de la Rosa,Jaguar,17,1:34.227,,
17,mcnish,Allan,McNish,Toyota,18,1:35.191,,
17,webber,Mark,Webber,Minardi,19,1:35.958,,
17,yoong,Alex,Yoong,Minardi,20,1:36.267,,
