Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,Mercedes,1,1:25.351,,
1,rosberg,Nico,Rosberg,Mercedes,2,1:26.934,,
1,vettel,Sebastian,Vettel,Ferrari,3,1:26.945,,
1,raikkonen,Kimi,Räikkönen,Ferrari,4,1:26.579,,
1,max_verstappen,Max,Verstappen,Toro Rosso,5,1:26.934,,
1,massa,Felipe,Massa,Williams,6,1:25.918,,
1,sainz,Carlos,Sainz,Toro Rosso,7,1:27.057,,
1,ricciardo,Daniel,Ricciardo,Red Bull,8,1:26.945,,
1,perez,Sergio,Pérez,Force India,9,1:26.607,,
1,hulkenberg,Nico,Hülkenberg,Force India,10,1:26.550,,
1,bottas,Valtteri,Bottas,Williams,11,1:27.135,,
1,alonso,Fernando,Alonso,McLaren,12,1:26.537,,
1,button,Jenson,Button,McLaren,13,1:26.740,,
1,jolyon_palmer,Jolyon,Palmer,Renault,14,1:27.241,,
1,kevin_magnussen,Kevin,Magnussen,Renault,15,1:27.297,,
1,ericsson,Marcus,Ericsson,Sauber,16,1:27.435,,
1,nasr,Felipe,Nasr,Sauber,17,1:27.958,,
1,kvyat,Daniil,Kvyat,Red Bull,18,1:28.006,,
1,grosjean,Romain,Grosjean,Haas F1 Team,19,1:28.322,,
1,gutierrez,Esteban,Gutiérrez,Haas F1 Team,20,1:29.606,,
1,haryanto,Rio,Haryanto,Manor Marussia,21,1:29.627,,
1,wehrlein,Pascal,Wehrlein,Manor Marussia,22,1:29.642,,
2,hamilton,Lewis,Hamilton,Mercedes,1,1:31.391,,
2,rosberg,Nico,Rosberg,Mercedes,2,1:31.325,,
2,vettel,Sebastian,Vettel,Ferrari,3,1:31.636,,
2,raikkonen,Kimi,Räikkönen,Ferrari,4,1:31.685,,
2,ricciardo,Daniel,Ricciardo,Red Bull,5,1:31.403,,
2,bottas,Valtteri,Bottas,Williams,6,1:31.672,,
2,massa,Felipe,Massa,Williams,7,1:32.045,,
2,hulkenberg,Nico,Hülkenberg,Force India,8,1:31.987,,
2,grosjean,Romain,Grosjean,Haas F1 Team,9,1:32.005,,
2,max_verstappen,Max,Verstappen,Toro Rosso,10,1:31.888,,
2,sainz,Carlos,Sainz,Toro Rosso,11,1:31.716,,
2,vandoorne,Stoffel,Vandoorne,McLaren,12,1:32.472,,
2,gutierrez,Esteban,Gutiérrez,Haas F1 Team,13,1:32.118,,
2,button,Jenson,Button,McLaren,14,1:31.976,,
2,kvyat,Daniil,Kvyat,Red Bull,15,1:32.559,,
2,wehrlein,Pascal,Wehrlein,Manor Marussia,16,1:32.806,,
2,ericsson,Marcus,Ericsson,Sauber,17,1:32.840,,
2,perez,Sergio,Pérez,Force India,18,1:32.911,,
2,kevin_magnussen,Kevin,Magnussen,Renault,19,1:33.181,,
2,jolyon_palmer,Jolyon,Palmer,Renault,20,1:33.438,,
2,haryanto,Rio,Haryanto,Manor Marussia,21,1:34.190,,
2,nasr,Felipe,Nasr,Sauber,22,1:34.388,,
3,rosberg,Nico,Rosberg,Mercedes,1,1:37.669,,
3,ricciardo,Daniel,Ricciardo,Red Bull,2,1:37.672,,
3,raikkonen,Kimi,Räikkönen,Ferrari,3,1:37.347,,
3,vettel,Sebastian,Vettel,Ferrari,4,1:37.001,,
3,bottas,Valtteri,Bottas,Williams,5,1:37.537,,
3,kvyat,Daniil,Kvyat,Red Bull,6,1:37.719,,
3,perez,Sergio,Pérez,Force India,7,1:38.096,,
3,sainz,Carlos,Sainz,Toro Rosso,8,1:37.656,,
3,max_verstappen,Max,Verstappen,Toro Rosso,9,1:38.181,,
3,hulkenberg,Nico,Hülkenberg,Force India,10,1:38.165,,
3,massa,Felipe,Massa,Williams,11,1:38.016,,
3,alonso,Fernando,Alonso,McLaren,12,1:38.451,,
3,button,Jenson,Button,McLaren,13,1:37.593,,
3,grosjean,Romain,Grosjean,Haas F1 Team,14,1:38.425,,
3,ericsson,Marcus,Ericsson,Sauber,15,1:38.321,,
3,nasr,Felipe,Nasr,Sauber,16,1:38.654,,
3,kevin_magnussen,Kevin,Magnussen,Renault,17,1:38.673,,
3,gutierrez,Esteban,Gutiérrez,Haas F1 Team,18,1:38.770,,
3,jolyon_palmer,Jolyon,Palmer,Renault,19,1:39.528,,
3,haryanto,Rio,Haryanto,Manor Marussia,20,1:40.264,,
3,wehrlein,Pascal,Wehrlein,Manor Marussia,21,,,
3,hamilton,Lewis,Hamilton,Mercedes,22,,,
4,rosberg,Nico,Rosberg,Mercedes,1,1:36.119,,
4,vettel,Sebastian,Vettel,Ferrari,2,1:36.555,,
4,bottas,Valtteri,Bottas,Williams,3,1:37.746,,
4,raikkonen,Kimi,Räikkönen,Ferrari,4,1:36.976,,
4,massa,Felipe,Massa,Williams,5,1:37.753,,
4,ricciardo,Daniel,Ricciardo,Red Bull,6,1:38.091,,
4,perez,Sergio,Pérez,Force India,7,1:38.006,,
4,kvyat,Daniil,Kvyat,Red Bull,8,1:38.265,,
4,max_verstappen,Max,Verstappen,Toro Rosso,9,1:38.123,,
