Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,Mercedes,1,1:31.699,,
1,ricciardo,Daniel,Ricciardo,Red Bull,2,1:30.775,,
1,rosberg,Nico,Rosberg,Mercedes,3,1:32.564,,
1,kevin_magnussen,Kevin,Magnussen,McLaren,4,1:30.949,,
1,alonso,Fernando,Alonso,Ferrari,5,1:31.388,,
1,vergne,Jean-Éric,Vergne,Toro Rosso,6,1:33.488,,
1,hulkenberg,Nico,Hülkenberg,Force India,7,1:33.893,,
1,kvyat,Daniil,Kvyat,Toro Rosso,8,1:33.777,,
1,massa,Felipe,Massa,Williams,9,1:31.228,,
1,bottas,Valtteri,Bottas,Williams,10,1:31.601,,
1,button,Jenson,Button,McLaren,11,1:31.396,,
1,raikkonen,Kimi,Räikkönen,Ferrari,12,1:32.439,,
1,vettel,Sebastian,Vettel,Red Bull,13,1:31.931,,
1,sutil,Adrian,Sutil,Sauber,14,1:33.673,,
1,kobayashi,Kamui,Kobayashi,Caterham,15,1:34.274,,
1,perez,Sergio,Pérez,Force India,16,1:34.141,,
1,chilton,Max,Chilton,Marussia,17,1:34.293,,
1,jules_bianchi,Jules,Bianchi,Marussia,18,1:34.794,,
1,gutierrez,Esteban,Gutiérrez,Sauber,19,1:35.117,,
1,ericsson,Marcus,Ericsson,Caterham,20,1:35.157,,
1,grosjean,Romain,Grosjean,Lotus F1,21,1:36.993,,
1,maldonado,Pastor,Maldonado,Lotus F1,22,,,
2,hamilton,Lewis,Hamilton,Mercedes,1,1:57.202,,
2,vettel,Sebastian,Vettel,Red Bull,2,1:57.654,,
2,rosberg,Nico,Rosberg,Mercedes,3,1:57.183,,
2,alonso,Fernando,Alonso,Ferrari,4,1:58.889,,
2,ricciardo,Daniel,Ricciardo,Red Bull,5,1:58.913,,
2,raikkonen,Kimi,Räikkönen,Ferrari,6,1:59.257,,
2,hulkenberg,Nico,Hülkenberg,Force India,7,1:58.883,,
2,kevin_magnussen,Kevin,Magnussen,McLaren,8,2:00.356,,
2,vergne,Jean-Éric,Vergne,Toro Rosso,9,2:01.689,,
2,button,Jenson,Button,McLaren,10,2:00.889,,
2,kvyat,Daniil,Kvyat,Toro Rosso,11,2:01.175,,
2,gutierrez,Esteban,Gutiérrez,Sauber,12,2:01.134,,
2,massa,Felipe,Massa,Williams,13,2:00.047,,
2,perez,Sergio,Pérez,Force India,14,2:00.076,,
2,bottas,Valtteri,Bottas,Williams,15,1:59.709,,
2,grosjean,Romain,Grosjean,Lotus F1,16,2:00.202,,
2,maldonado,Pastor,Maldonado,Lotus F1,17,2:02.074,,
2,sutil,Adrian,Sutil,Sauber,18,2:02.131,,
2,jules_bianchi,Jules,Bianchi,Marussia,19,2:02.702,,
2,kobayashi,Kamui,Kobayashi,Caterham,20,2:03.595,,
2,chilton,Max,Chilton,Marussia,21,2:04.388,,
2,ericsson,Marcus,Ericsson,Caterham,22,2:04.407,,
3,rosberg,Nico,Rosberg,Mercedes,1,1:35.439,,
3,hamilton,Lewis,Hamilton,Mercedes,2,1:35.323,,
3,ricciardo,Daniel,Ricciardo,Red Bull,3,1:36.220,,
3,bottas,Valtteri,Bottas,Williams,4,1:34.934,,
3,perez,Sergio,Pérez,Force India,5,1:34.998,,
3,raikkonen,Kimi,Räikkönen,Ferrari,6,1:35.234,,
3,button,Jenson,Button,McLaren,7,1:35.699,,
3,massa,Felipe,Massa,Williams,8,1:35.085,,
3,kevin_magnussen,Kevin,Magnussen,McLaren,9,1:35.288,,
3,alonso,Fernando,Alonso,Ferrari,10,1:35.251,,
3,vettel,Sebastian,Vettel,Red Bull,11,1:35.549,,
3,hulkenberg,Nico,Hülkenberg,Force India,12,1:34.874,,
3,kvyat,Daniil,Kvyat,Toro Rosso,13,1:35.395,,
3,vergne,Jean-Éric,Vergne,Toro Rosso,14,1:35.815,,
3,gutierrez,Esteban,Gutiérrez,Sauber,15,1:36.567,,
3,grosjean,Romain,Grosjean,Lotus F1,16,1:36.654,,
3,maldonado,Pastor,Maldonado,Lotus F1,17,1:36.663,,
3,sutil,Adrian,Sutil,Sauber,18,1:36.840,,
3,kobayashi,Kamui,Kobayashi,Caterham,19,1:37.085,,
3,jules_bianchi,Jules,Bianchi,Marussia,20,1:37.310,,
3,ericsson,Marcus,Ericsson,Caterham,21,1:37.875,,
3,chilton,Max,Chilton,Marussia,22,1:37.913,,
4,hamilton,Lewis,Hamilton,Mercedes,1,1:55.516,,
4,ricciardo,Daniel,Ricciardo,Red Bull,2,1:56.641,,
4,vettel,Sebastian,Vettel,Red Bull,3,1:55.926,,
4,rosberg,Nico,Rosberg,Mercedes,4,1:56.058,,
4,alonso,Fernando,Alonso,Ferrari,5,1:56.961,,
4,massa,Felipe,Massa,Williams,6,1:56.850,,
4,bottas,Valtteri,Bottas,Williams,7,1:56.501,,
4,hulkenberg,Nico,Hülkenberg,Force India,8,1:55.913,,
4,vergne,Jean-Éric,Vergne,Toro Rosso,9,1:57.477,,
4,grosjean,Romain,Grosjean,Lotus F1,10,1:58.411,,
4,raikkonen,Kimi,Räikkönen,Ferrari,11,1:58.279,,
4,button,Jenson,Button,McLaren,12,1:57.783,,
4,kvyat,Daniil,Kvyat,Toro Rosso,13,1:57.261,,
4,sutil,Adrian,Sutil,Sauber,14,1:58.138,,
4,kevin_magnussen,Kevin,Magnussen,McLaren,15,1:57.369,,
4,perez,Sergio,Pérez,Force India,16,1:58.362,,
