Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,button,Jenson,Button,Brawn,1,1:25.211,,
1,barrichello,Rubens,Barrichello,Brawn,2,1:25.006,,
1,vettel,Sebastian,Vettel,Red Bull,3,1:25.938,,
1,kubica,Robert,Kubica,BMW Sauber,4,1:25.922,,
1,rosberg,Nico,Rosberg,Williams,5,1:25.846,,
1,glock,Timo,Glock,Toyota,6,1:25.499,,
1,massa,Felipe,Massa,Ferrari,7,1:25.844,,
1,trulli,Jarno,Trulli,Toyota,8,1:26.194,,
1,raikkonen,Kimi,Räikkönen,Ferrari,9,1:25.899,,
1,webber,Mark,Webber,Red Bull,10,1:25.427,,
1,heidfeld,Nick,Heidfeld,BMW Sauber,11,1:25.827,,
1,alonso,Fernando,Alonso,Renault,12,1:26.026,,
1,nakajima,Kazuki,Nakajima,Williams,13,1:26.074,,
1,kovalainen,Heikki,Kovalainen,McLaren,14,1:26.184,,
1,hamilton,Lewis,Hamilton,McLaren,15,1:26.454,,
1,buemi,Sébastien,Buemi,Toro Rosso,16,1:26.503,,
1,piquet_jr,Nelson,Piquet Jr.,Renault,17,1:26.598,,
1,fisichella,Giancarlo,Fisichella,Force India,18,1:26.677,,
1,sutil,Adrian,Sutil,Force India,19,1:26.742,,
1,bourdais,Sébastien,Bourdais,Toro Rosso,20,1:26.964,,
2,button,Jenson,Button,Brawn,1,1:35.058,,
2,trulli,Jarno,Trulli,Toyota,2,1:34.745,,
2,vettel,Sebastian,Vettel,Red Bull,3,1:34.935,,
2,barrichello,Rubens,Barrichello,Brawn,4,1:34.681,,
2,glock,Timo,Glock,Toyota,5,1:34.907,,
2,rosberg,Nico,Rosberg,Williams,6,1:35.083,,
2,webber,Mark,Webber,Red Bull,7,1:35.027,,
2,kubica,Robert,Kubica,BMW Sauber,8,1:35.166,,
2,raikkonen,Kimi,Räikkönen,Ferrari,9,1:35.476,,
2,alonso,Fernando,Alonso,Renault,10,1:35.260,,
2,heidfeld,Nick,Heidfeld,BMW Sauber,11,1:35.110,,
2,nakajima,Kazuki,Nakajima,Williams,12,1:35.341,,
2,hamilton,Lewis,Hamilton,McLaren,13,1:35.280,,
2,kovalainen,Heikki,Kovalainen,McLaren,14,1:35.023,,
2,bourdais,Sébastien,Bourdais,Toro Rosso,15,1:35.507,,
2,massa,Felipe,Massa,Ferrari,16,1:35.642,,
2,piquet_jr,Nelson,Piquet Jr.,Renault,17,1:35.708,,
2,fisichella,Giancarlo,Fisichella,Force India,18,1:35.908,,
