Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,vettel,Sebastian,Vettel,Red Bull,1,1:25.296,,
1,hamilton,Lewis,Hamilton,McLaren,2,1:25.384,,
1,webber,Mark,Webber,Red Bull,3,1:25.900,,
1,button,Jenson,Button,McLaren,4,1:25.886,,
1,alonso,Fernando,Alonso,Ferrari,5,1:25.707,,
1,petrov,Vitaly,Petrov,Renault,6,1:25.543,,
1,rosberg,Nico,Rosberg,Mercedes,7,1:25.856,,
1,massa,Felipe,Massa,Ferrari,8,1:26.031,,
1,kobayashi,Kamui,Kobayashi,Sauber,9,1:25.717,,
1,buemi,Sébastien,Buemi,Toro Rosso,10,1:26.232,,
1,michael_schumacher,Michael,Schumacher,Mercedes,11,1:25.962,,
1,alguersuari,Jaime,Alguersuari,Toro Rosso,12,1:26.620,,
1,perez,Sergio,Pérez,Sauber,13,1:25.812,,
1,resta,Paul,di Resta,Force India,14,1:27.222,,
1,maldonado,Pastor,Maldonado,Williams,15,1:26.298,,
1,sutil,Adrian,Sutil,Force India,16,1:26.245,,
1,barrichello,Rubens,Barrichello,Williams,17,1:26.270,,
1,heidfeld,Nick,Heidfeld,Renault,18,1:27.239,,
1,kovalainen,Heikki,Kovalainen,Lotus,19,1:29.254,,
1,trulli,Jarno,Trulli,Lotus,20,1:29.342,,
1,glock,Timo,Glock,Virgin,21,1:29.858,,
1,ambrosio,Jérôme,d'Ambrosio,Virgin,22,1:30.822,,
1,liuzzi,Vitantonio,Liuzzi,HRT,23,1:32.978,,
1,karthikeyan,Narain,Karthikeyan,HRT,24,1:34.293,,
2,vettel,Sebastian,Vettel,Red Bull,1,1:37.468,,
2,hamilton,Lewis,Hamilton,McLaren,2,1:36.861,,
2,webber,Mark,Webber,Red Bull,3,1:37.924,,
2,button,Jenson,Button,McLaren,4,1:37.033,,
2,alonso,Fernando,Alonso,Ferrari,5,1:36.897,,
2,heidfeld,Nick,Heidfeld,Renault,6,1:37.224,,
2,massa,Felipe,Massa,Ferrari,7,1:36.744,,
2,petrov,Vitaly,Petrov,Renault,8,1:37.210,,
2,rosberg,Nico,Rosberg,Mercedes,9,1:37.316,,
2,kobayashi,Kamui,Kobayashi,Sauber,10,1:36.994,,
2,michael_schumacher,Michael,Schumacher,Mercedes,11,1:36.904,,
2,buemi,Sébastien,Buemi,Toro Rosso,12,1:37.693,,
2,alguersuari,Jaime,Alguersuari,Toro Rosso,13,1:37.677,,
2,resta,Paul,di Resta,Force India,14,1:38.045,,
2,barrichello,Rubens,Barrichello,Williams,15,1:38.163,,
2,perez,Sergio,Pérez,Sauber,16,1:37.759,,
2,sutil,Adrian,Sutil,Force India,17,1:37.693,,
