Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,Mercedes,1,1:28.586,,
1,rosberg,Nico,Rosberg,Mercedes,2,1:28.906,,
1,massa,Felipe,Massa,Williams,3,1:29.246,,
1,vettel,Sebastian,Vettel,Ferrari,4,1:29.307,,
1,raikkonen,Kimi,Räikkönen,Ferrari,5,1:29.754,,
1,bottas,Valtteri,Bottas,Williams,6,1:29.641,,
1,ricciardo,Daniel,Ricciardo,Red Bull,7,1:29.788,,
1,sainz,Carlos,Sainz,Toro Rosso,8,1:29.597,,
1,grosjean,Romain,Grosjean,Lotus F1,9,1:29.537,,
1,maldonado,Pastor,Maldonado,Lotus F1,10,1:29.847,,
1,nasr,Felipe,Nasr,Sauber,11,1:30.430,,
1,max_verstappen,Max,Verstappen,Toro Rosso,12,1:29.248,,
1,kvyat,Daniil,Kvyat,Red Bull,13,1:30.402,,
1,hulkenberg,Nico,Hülkenberg,Force India,14,1:29.651,,
1,perez,Sergio,Pérez,Force India,15,1:29.990,,
1,ericsson,Marcus,Ericsson,Sauber,16,1:31.376,,
1,button,Jenson,Button,McLaren,17,1:31.422,,
1,kevin_magnussen,Kevin,Magnussen,McLaren,18,1:32.037,,
2,hamilton,Lewis,Hamilton,Mercedes,1,1:39.269,,
2,vettel,Sebastian,Vettel,Ferrari,2,1:39.814,,
2,rosberg,Nico,Rosberg,Mercedes,3,1:39.374,,
2,ricciardo,Daniel,Ricciardo,Red Bull,4,1:40.504,,
2,kvyat,Daniil,Kvyat,Red Bull,5,1:40.546,,
2,max_verstappen,Max,Verstappen,Toro Rosso,6,1:40.793,,
2,massa,Felipe,Massa,Williams,7,1:40.543,,
2,grosjean,Romain,Grosjean,Lotus F1,8,1:40.303,,
2,bottas,Valtteri,Bottas,Williams,9,1:40.249,,
2,ericsson,Marcus,Ericsson,Sauber,10,1:40.340,,
2,raikkonen,Kimi,Räikkönen,Ferrari,11,1:40.415,,
2,maldonado,Pastor,Maldonado,Lotus F1,12,1:40.361,,
2,hulkenberg,Nico,Hülkenberg,Force India,13,1:40.830,,
2,perez,Sergio,Pérez,Force India,14,1:41.036,,
2,sainz,Carlos,Sainz,Toro Rosso,15,1:39.814,,
2,nasr,Felipe,Nasr,Sauber,16,1:41.308,,
2,button,Jenson,Button,McLaren,17,1:41.636,,
2,alonso,Fernando,Alonso,McLaren,18,1:41.746,,
2,merhi,Roberto,Merhi,Manor Marussia,19,1:46.677,,
3,hamilton,Lewis,Hamilton,Mercedes,1,1:38.285,,
