Round,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,Lewis,Hamilton,Mercedes,1,1:22.824,1:22.051,1:21.164
1,Kimi,Räikkönen,Ferrari,2,1:23.096,1:22.507,1:21.828
1,Sebastian,Vettel,Ferrari,3,1:23.348,1:21.944,1:21.838
1,Max,Verstappen,Red Bull,4,1:23.483,1:22.416,1:21.879
1,Daniel,Ricciardo,Red Bull,5,1:23.494,1:22.897,1:22.152
1,Kevin,Magnussen,Haas F1 Team,6,1:23.909,1:23.300,1:23.187
1,Romain,Grosjean,Haas F1 Team,7,1:23.671,1:23.468,1:23.339
1,Nico,Hülkenberg,Renault,8,1:23.782,1:23.544,1:23.532
1,Carlos,Sainz,Renault,9,1:23.529,1:23.061,1:23.577
1,Valtteri,Bottas,Mercedes,10,1:23.686,1:22.089,
1,Fernando,Alonso,McLaren,11,1:23.597,1:23.692,
1,Stoffel,Vandoorne,McLaren,12,1:24.073,1:23.853,
1,Sergio,Pérez,Force India,13,1:24.344,1:24.005,
1,Lance,Stroll,Williams,14,1:24.464,1:24.230,
1,Esteban,Ocon,Force India,15,1:24.503,1:24.786,
1,Brendon,Hartley,Toro Rosso,16,1:24.532,,
1,Marcus,Ericsson,Sauber,17,1:24.556,,
1,Charles,Leclerc,Sauber,18,1:24.636,,
1,Sergey,Sirotkin,Williams,19,1:24.922,,
1,Pierre,Gasly,Toro Rosso,20,1:25.295,,
2,Lewis,Hamilton,Mercedes,1,1:22.824,1:22.051,1:21.164
2,Kimi,Räikkönen,Ferrari,2,1:23.096,1:22.507,1:21.828
2,Sebastian,Vettel,Ferrari,3,1:23.348,1:21.944,1:21.838
2,Max,Verstappen,Red Bull,4,1:23.483,1:22.416,1:21.879
2,Daniel,Ricciardo,Red Bull,5,1:23.494,1:22.897,1:22.152
2,Kevin,Magnussen,Haas F1 Team,6,1:23.909,1:23.300,1:23.187
2,Romain,Grosjean,Haas F1 Team,7,1:23.671,1:23.468,1:23.339
2,Nico,Hülkenberg,Renault,8,1:23.782,1:23.544,1:23.532
2,Carlos,Sainz,Renault,9,1:23.529,1:23.061,1:23.577
2,Valtteri,Bottas,Mercedes,10,1:23.686,1:22.089,
2,Fernando,Alonso,McLaren,11,1:23.597,1:23.692,
2,Stoffel,Vandoorne,McLaren,12,1:24.073,1:23.853,
2,Sergio,Pérez,Force India,13,1:24.344,1:24.005,
2,Lance,Stroll,Williams,14,1:24.464,1:24.230,
2,Esteban,Ocon,Force India,15,1:24.503,1:24.786,
2,Brendon,Hartley,Toro Rosso,16,1:24.532,,
2,Marcus,Ericsson,Sauber,17,1:24.556,,
2,Charles,Leclerc,Sauber,18,1:24.636,,
2,Sergey,Sirotkin,Williams,19,1:24.922,,
2,Pierre,Gasly,Toro Rosso,20,1:25.295,,
3,Sebastian,Vettel,Ferrari,1,1:29.060,1:28.341,1:27.958
3,Kimi,Räikkönen,Ferrari,2,1:28.951,1:28.515,1:28.101
3,Valtteri,Bottas,Mercedes,3,1:29.275,1:28.794,1:28.124
3,Lewis,Hamilton,Mercedes,4,1:29.396,1:28.458,1:28.220
3,Daniel,Ricciardo,Red Bull,5,1:29.552,1:28.962,1:28.398
3,Pierre,Gasly,Toro Rosso,6,1:30.121,1:29.836,1:29.329
3,Kevin,Magnussen,Haas F1 Team,7,1:29.594,1:29.623,1:29.358
3,Nico,Hülkenberg,Renault,8,1:30.260,1:29.187,1:29.570
3,Esteban,Ocon,Force India,9,1:30.338,1:30.009,1:29.874
3,Carlos,Sainz,Renault,10,1:29.893,1:29.802,1:29.986
3,Brendon,Hartley,Toro Rosso,11,1:30.412,1:30.105,
3,Sergio,Pérez,Force India,12,1:30.218,1:30.156,
3,Fernando,Alonso,McLaren,13,1:30.530,1:30.212,
3,Stoffel,Vandoorne,McLaren,14,1:30.479,1:30.525,
3,Max,Verstappen,Red Bull,15,1:29.374,,
3,Romain,Grosjean,Haas F1 Team,16,1:30.530,,
3,Marcus,Ericsson,Sauber,17,1:31.063,,
3,Sergey,Sirotkin,Williams,18,1:31.414,,
3,Charles,Leclerc,Sauber,19,1:31.420,,
3,Lance,Stroll,Williams,20,1:31.503,,
4,Sebastian,Vettel,Ferrari,1,1:32.171,1:32.385,1:31.095
4,Kimi,Räikkönen,Ferrari,2,1:32.474,1:32.286,1:31.182
4,Valtteri,Bottas,Mercedes,3,1:32.921,1:32.063,1:31.625
4,Lewis,Hamilton,Mercedes,4,1:33.283,1:31.914,1:31.675
4,Max,Verstappen,Red Bull,5,1:32.932,1:32.809,1:31.796
4,Daniel,Ricciardo,Red Bull,6,1:33.877,1:32.688,1:31.948
4,Nico,Hülkenberg,Renault,7,1:33.545,1:32.494,1:32.532
4,Sergio,Pérez,Force India,8,1:33.464,1:32.931,1:32.758
4,Carlos,Sainz,Renault,9,1:33.315,1:32.970,1:32.819
4,Romain,Grosjean,Haas F1 Team,10,1:33.238,1:32.524,1:32.855
4,Kevin,Magnussen,Haas F1 Team,11,1:33.359,1:32.986,
4,Esteban,Ocon,Force India,12,1:33.585,1:33.057,
4,Fernando,Alonso,McLaren,13,1:33.428,1:33.232,
4,Stoffel,Vandoorne,McLaren,14,1:33.824,1:33.505,
4,Brendon,Hartley,Toro Rosso,15,1:34.013,1:33.795,
4,Sergey,Sirotkin,Williams,16,1:34.062,,
4,Pierre,Gasly,Toro Rosso,17,1:34.101,,
4,Lance,Stroll,Williams,18,1:34.285,,
4,Charles,Leclerc,Sauber,19,1:34.454,,
4,Marcus,Ericsson,Sauber,20,1:34.914,,
5,Sebastian,Vettel,Ferrari,1,1:42.762,1:43.015,1:41.498
5,Lewis,Hamilton,Mercedes,2,1:42.693,1:42.676,1:41.677
5,Valtteri,Bottas,Mercedes,3,1:43.355,1:42.679,1:41.837
5,Daniel,Ricciardo,Red Bull,4,1:42.857,1:43.482,1:41.911
5,Max,Verstappen,Red Bull,5,1:42.642,1:42.901,1:41.994
5,Kimi,Räikkönen,Ferrari,6,1:42.538,1:42.510,1:42.490
5,Esteban,Ocon,Force India,7,1:43.021,1:42.967,1:42.523
5,Sergio,Pérez,Force India,8,1:43.992,1:43.366,1:42.547
5,Nico,Hülkenberg,Renault,9,1:43.746,1:43.232,1:43.066
5,Carlos,Sainz,Renault,10,1:43.426,1:43.464,1:43.351
5,Lance,Stroll,Williams,11,1:44.359,1:43.585,
5,Sergey,Sirotkin,Williams,12,1:44.261,1:43.886,
5,Fernando,Alonso,McLaren,13,1:44.010,1:44.019,
5,Charles,Leclerc,Sauber,14,1:43.752,1:44.074,
5,Kevin,Magnussen,Haas F1 Team,15,1:43.674,1:44.759,
5,Stoffel,Vandoorne,McLaren,16,1:44.489,,
5,Pierre,Gasly,Toro Rosso,17,1:44.496,,
5,Marcus,Ericsson,Sauber,18,1:45.541,,
5,Brendon,Hartley,Toro Rosso,19,1:57.354,,
5,Romain,Grosjean,Haas F1 Team,20,,,
6,Lewis,Hamilton,Mercedes,1,1:17.633,1:17.166,1:16.173
6,Valtteri,Bottas,Mercedes,2,1:17.674,1:17.111,1:16.213
6,Sebastian,Vettel,Ferrari,3,1:17.031,1:16.802,1:16.305
6,Kimi,Räikkönen,Ferrari,4,1:17.483,1:17.071,1:16.612
6,Max,Verstappen,Red Bull,5,1:17.411,1:17.266,1:16.816
6,Daniel,Ricciardo,Red Bull,6,1:17.623,1:17.638,1:16.818
6,Kevin,Magnussen,Haas F1 Team,7,1:18.169,1:17.618,1:17.676
6,Fernando,Alonso,McLaren,8,1:18.276,1:18.100,1:17.721
6,Carlos,Sainz,Renault,9,1:18.480,1:17.803,1:17.790
6,Romain,Grosjean,Haas F1 Team,10,1:18.305,1:17.699,1:17.835
6,Stoffel,Vandoorne,McLaren,11,1:18.885,1:18.323,
6,Pierre,Gasly,Toro Rosso,12,1:18.550,1:18.463,
6,Esteban,Ocon,Force India,13,1:18.813,1:18.696,
6,Charles,Leclerc,Sauber,14,1:18.661,1:18.910,
6,Sergio,Pérez,Force India,15,1:18.740,1:19.098,
6,Nico,Hülkenberg,Renault,16,1:18.923,,
6,Marcus,Ericsson,Sauber,17,1:19.493,,
6,Sergey,Sirotkin,Williams,18,1:19.695,,
6,Lance,Stroll,Williams,19,1:20.225,,
6,Brendon,Hartley,Toro Rosso,20,,,
7,Daniel,Ricciardo,Red Bull,1,1:12.013,1:11.278,1:10.810
7,Sebastian,Vettel,Ferrari,2,1:12.415,1:11.518,1:11.039
7,Lewis,Hamilton,Mercedes,3,1:12.460,1:11.584,1:11.232
7,Kimi,Räikkönen,Ferrari,4,1:12.639,1:11.391,1:11.266
7,Valtteri,Bottas,Mercedes,5,1:12.434,1:12.002,1:11.441
7,Esteban,Ocon,Force India,6,1:13.028,1:12.188,1:12.061
7,Fernando,Alonso,McLaren,7,1:12.657,1:12.269,1:12.110
7,Carlos,Sainz,Renault,8,1:12.950,1:12.286,1:12.130
7,Sergio,Pérez,Force India,9,1:12.848,1:12.194,1:12.154
7,Pierre,Gasly,Toro Rosso,10,1:12.941,1:12.313,1:12.221
7,Nico,Hülkenberg,Renault,11,1:13.065,1:12.411,
7,Stoffel,Vandoorne,McLaren,12,1:12.463,1:12.440,
7,Sergey,Sirotkin,Williams,13,1:12.706,1:12.521,
7,Charles,Leclerc,Sauber,14,1:12.829,1:12.714,
7,Romain,Grosjean,Haas F1 Team,15,1:12.930,1:12.728,
7,Brendon,Hartley,Toro Rosso,16,1:13.179,,
7,Marcus,Ericsson,Sauber,17,1:13.265,,
7,Lance,Stroll,Williams,18,1:13.323,,
7,Kevin,Magnussen,Haas F1 Team,19,1:13.393,,
7,Max,Verstappen,Red Bull,20,,,
8,Sebastian,Vettel,Ferrari,1,1:11.710,1:11.524,1:10.764
8,Valtteri,Bottas,Mercedes,2,1:11.950,1:11.514,1:10.857
8,Max,Verstappen,Red Bull,3,1:12.008,1:11.472,1:10.937
8,Lewis,Hamilton,Mercedes,4,1:11.835,1:11.740,1:10.996
8,Kimi,Räikkönen,Ferrari,5,1:11.725,1:11.620,1:11.095
8,Daniel,Ricciardo,Red Bull,6,1:12.459,1:11.434,1:11.116
8,Nico,Hülkenberg,Renault,7,1:12.795,1:11.916,1:11.973
8,Esteban,Ocon,Force India,8,1:12.577,1:12.141,1:12.084
8,Carlos,Sainz,Renault,9,1:12.689,1:12.097,1:12.168
8,Sergio,Pérez,Force India,10,1:12.702,1:12.395,1:12.671
8,Kevin,Magnussen,Haas F1 Team,11,1:12.680,1:12.606,
8,Brendon,Hartley,Toro Rosso,12,1:12.587,1:12.635,
8,Charles,Leclerc,Sauber,13,1:12.945,1:12.661,
8,Fernando,Alonso,McLaren,14,1:12.979,1:12.856,
8,Stoffel,Vandoorne,McLaren,15,1:12.998,1:12.865,
8,Pierre,Gasly,Toro Rosso,16,1:13.047,,
8,Lance,Stroll,Williams,17,1:13.590,,
8,Sergey,Sirotkin,Williams,18,1:13.643,,
8,Marcus,Ericsson,Sauber,19,1:14.593,,
8,Romain,Grosjean,Haas F1 Team,20,,,
9,Lewis,Hamilton,Mercedes,1,1:31.271,1:30.645,1:30.029
9,Valtteri,Bottas,Mercedes,2,1:31.776,1:31.227,1:30.147
9,Sebastian,Vettel,Ferrari,3,1:31.820,1:30.751,1:30.400
9,Max,Verstappen,Red Bull,4,1:31.531,1:30.818,1:30.705
9,Daniel,Ricciardo,Red Bull,5,1:31.910,1:31.538,1:30.895
9,Kimi,Räikkönen,Ferrari,6,1:31.567,1:30.772,1:31.057
9,Carlos,Sainz,Renault,7,1:32.394,1:32.016,1:32.126
9,Charles,Leclerc,Sauber,8,1:32.538,1:32.055,1:32.635
9,Kevin,Magnussen,Haas F1 Team,9,1:32.169,1:31.510,1:32.930
9,Romain,Grosjean,Haas F1 Team,10,1:32.083,1:31.472,
9,Esteban,Ocon,Force India,11,1:32.786,1:32.075,
9,Nico,Hülkenberg,Renault,12,1:32.949,1:32.115,
9,Sergio,Pérez,Force India,13,1:32.692,1:32.454,
9,Pierre,Gasly,Toro Rosso,14,1:32.447,1:32.460,
9,Marcus,Ericsson,Sauber,15,1:32.804,1:32.820,
9,Fernando,Alonso,McLaren,16,1:32.976,,
9,Brendon,Hartley,Toro Rosso,17,1:33.025,,
9,Stoffel,Vandoorne,McLaren,18,1:33.162,,
9,Sergey,Sirotkin,Williams,19,1:33.636,,
9,Lance,Stroll,Williams,20,1:33.729,,
10,Valtteri,Bottas,Mercedes,1,1:04.175,1:03.756,1:03.130
10,Lewis,Hamilton,Mercedes,2,1:04.080,1:03.577,1:03.149
10,Sebastian,Vettel,Ferrari,3,1:04.347,1:03.544,1:03.464
10,Kimi,Räikkönen,Ferrari,4,1:04.234,1:03.975,1:03.660
10,Max,Verstappen,Red Bull,5,1:04.273,1:04.001,1:03.840
10,Romain,Grosjean,Haas F1 Team,6,1:04.242,1:04.059,1:03.892
10,Daniel,Ricciardo,Red Bull,7,1:04.723,1:04.403,1:03.996
10,Kevin,Magnussen,Haas F1 Team,8,1:04.460,1:04.291,1:04.051
10,Carlos,Sainz,Renault,9,1:04.948,1:04.561,1:04.725
10,Nico,Hülkenberg,Renault,10,1:04.864,1:04.676,1:05.019
10,Esteban,Ocon,Force India,11,1:05.148,1:04.845,
10,Pierre,Gasly,Toro Rosso,12,1:05.011,1:04.874,
10,Charles,Leclerc,Sauber,13,1:04.967,1:04.979,
10,Fernando,Alonso,McLaren,14,1:04.965,1:05.058,
10,Lance,Stroll,Williams,15,1:05.264,1:05.286,
10,Stoffel,Vandoorne,McLaren,16,1:05.271,,
10,Sergio,Pérez,Force India,17,1:05.279,,
10,Sergey,Sirotkin,Williams,18,1:05.322,,
10,Brendon,Hartley,Toro Rosso,19,1:05.366,,
10,Marcus,Ericsson,Sauber,20,1:05.479,,
11,Lewis,Hamilton,Mercedes,1,1:26.818,1:26.256,1:25.892
11,Sebastian,Vettel,Ferrari,2,1:26.585,1:26.372,1:25.936
11,Kimi,Räikkönen,Ferrari,3,1:27.549,1:26.483,1:25.990
11,Valtteri,Bottas,Mercedes,4,1:27.025,1:26.413,1:26.217
11,Max,Verstappen,Red Bull,5,1:27.309,1:27.013,1:26.602
11,Daniel,Ricciardo,Red Bull,6,1:27.979,1:27.369,1:27.099
11,Kevin,Magnussen,Haas F1 Team,7,1:28.143,1:27.730,1:27.244
11,Romain,Grosjean,Haas F1 Team,8,1:28.086,1:27.522,1:27.455
11,Charles,Leclerc,Sauber,9,1:27.962,1:27.790,1:27.879
11,Esteban,Ocon,Force India,10,1:28.279,1:27.843,1:28.194
11,Nico,Hülkenberg,Renault,11,1:28.017,1:27.901,
11,Sergio,Pérez,Force India,12,1:28.210,1:27.928,
11,Fernando,Alonso,McLaren,13,1:28.187,1:28.139,
11,Pierre,Gasly,Toro Rosso,14,1:28.399,1:28.343,
11,Marcus,Ericsson,Sauber,15,1:28.249,1:28.391,
11,Carlos,Sainz,Renault,16,1:28.456,,
11,Stoffel,Vandoorne,McLaren,17,1:29.096,,
11,Sergey,Sirotkin,Williams,18,1:29.252,,
11,Lance,Stroll,Williams,19,,,
11,Brendon,Hartley,Toro Rosso,20,,,
