Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,Mercedes,1,1:22.043,,
1,bottas,Valtteri,Bottas,Mercedes,2,1:22.367,,
1,vettel,Sebastian,Vettel,Ferrari,3,1:22.885,,
1,max_verstappen,Max,Verstappen,Red Bull,4,1:22.876,,
1,leclerc,Charles,Leclerc,Ferrari,5,1:22.017,,
1,grosjean,Romain,Grosjean,Haas F1 Team,6,1:22.959,,
1,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,7,1:22.519,,
1,norris,Lando,Norris,McLaren,8,1:22.702,,
1,raikkonen,Kimi,Räikkönen,Alfa Romeo,9,1:22.966,,
1,perez,Sergio,Pérez,Racing Point,10,1:22.908,,
1,hulkenberg,Nico,Hülkenberg,Renault,11,1:22.540,,
1,ricciardo,Daniel,Ricciardo,Renault,12,1:22.921,,
1,albon,Alexander,Albon,Toro Rosso,13,1:22.757,,
1,giovinazzi,Antonio,Giovinazzi,Alfa Romeo,14,1:22.431,,
1,kvyat,Daniil,Kvyat,Toro Rosso,15,1:22.511,,
1,stroll,Lance,Stroll,Racing Point,16,1:23.017,,
1,gasly,Pierre,Gasly,Red Bull,17,1:23.020,,
1,sainz,Carlos,Sainz,McLaren,18,1:23.084,,
1,russell,George,Russell,Williams,19,1:24.360,,
1,kubica,Robert,Kubica,Williams,20,1:26.067,,
2,leclerc,Charles,Leclerc,Ferrari,1,1:28.495,,
2,vettel,Sebastian,Vettel,Ferrari,2,1:28.733,,
2,hamilton,Lewis,Hamilton,Mercedes,3,1:29.262,,
2,bottas,Valtteri,Bottas,Mercedes,4,1:29.498,,
2,max_verstappen,Max,Verstappen,Red Bull,5,1:29.579,,
2,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,6,1:29.532,,
2,sainz,Carlos,Sainz,McLaren,7,1:29.528,,
2,grosjean,Romain,Grosjean,Haas F1 Team,8,1:29.688,,
2,raikkonen,Kimi,Räikkönen,Alfa Romeo,9,1:29.959,,
2,norris,Lando,Norris,McLaren,10,1:29.381,,
2,ricciardo,Daniel,Ricciardo,Renault,11,1:29.859,,
2,albon,Alexander,Albon,Toro Rosso,12,1:29.514,,
2,gasly,Pierre,Gasly,Red Bull,13,1:29.900,,
2,perez,Sergio,Pérez,Racing Point,14,1:29.893,,
2,kvyat,Daniil,Kvyat,Toro Rosso,15,1:29.876,,
2,giovinazzi,Antonio,Giovinazzi,Alfa Romeo,16,1:30.026,,
2,hulkenberg,Nico,Hülkenberg,Renault,17,1:30.034,,
2,stroll,Lance,Stroll,Racing Point,18,1:30.217,,
2,russell,George,Russell,Williams,19,1:31.759,,
2,kubica,Robert,Kubica,Williams,20,1:31.799,,
3,bottas,Valtteri,Bottas,Mercedes,1,1:32.658,,
3,hamilton,Lewis,Hamilton,Mercedes,2,1:33.115,,
3,vettel,Sebastian,Vettel,Ferrari,3,1:33.557,,
3,leclerc,Charles,Leclerc,Ferrari,4,1:32.712,,
3,max_verstappen,Max,Verstappen,Red Bull,5,1:33.274,,
3,gasly,Pierre,Gasly,Red Bull,6,1:33.863,,
3,ricciardo,Daniel,Ricciardo,Renault,7,1:33.709,,
3,hulkenberg,Nico,Hülkenberg,Renault,8,1:33.644,,
3,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,9,1:34.036,,
3,grosjean,Romain,Grosjean,Haas F1 Team,10,1:33.752,,
