Driver ID,Stop,Lap,Time,Duration
hamilton,1,11,18:21:54,25.201
alonso,1,11,18:22:10,25.365
mick_schumacher,1,12,18:24:08,25.214
albon,1,13,18:25:47,24.874
max_verstappen,1,14,18:26:43,24.897
sainz,1,14,18:26:50,24.666
kevin_magnussen,1,14,18:27:07,25.478
gasly,1,14,18:27:08,24.575
ocon,1,14,18:27:11,30.484
bottas,1,14,18:27:19,25.893
latifi,1,14,18:27:38,24.457
leclerc,1,15,18:28:19,25.012
perez,1,15,18:28:32,25.046
russell,1,15,18:28:38,25.888
tsunoda,1,15,18:28:57,26.095
zhou,1,15,18:29:03,25.428
ricciardo,1,17,18:32:46,24.915
stroll,1,18,18:34:18,25.739
hulkenberg,1,19,18:36:11,27.365
norris,1,24,18:44:41,24.568
alonso,2,25,18:45:53,24.909
hamilton,2,27,18:48:44,25.796
tsunoda,2,29,18:52:37,24.350
max_verstappen,2,30,18:53:16,24.937
ocon,2,30,18:54:12,25.393
leclerc,2,31,18:54:52,24.527
gasly,2,32,18:57:23,25.875
latifi,2,32,18:58:19,24.778
sainz,2,33,18:58:21,24.438
perez,2,33,18:58:23,24.173
ricciardo,1,8,20:16:37,20.650
stroll,1,13,20:24:49,22.339
albon,1,13,20:24:54,20.683
perez,1,15,20:27:12,20.481
gasly,1,15,20:27:52,22.820
leclerc,1,16,20:28:55,21.038
max_verstappen,1,16,20:28:58,20.731
sainz,1,16,20:29:04,21.521
russell,1,16,20:29:21,21.415
alonso,1,16,20:29:40,21.543
bottas,1,16,20:29:43,22.561
ocon,1,16,20:29:50,21.141
norris,1,16,20:29:54,20.383
zhou,1,16,20:29:56,33.734
zhou,2,27,20:51:18,15.103
bottas,2,35,21:03:48,22.710
kevin_magnussen,1,37,21:06:57,22.374
hulkenberg,1,37,21:07:16,21.425
hamilton,1,40,21:12:59,21.788
stroll,1,3,15:08:15,18.242
stroll,2,4,15:10:29,18.560
latifi,1,13,15:25:03,18.552
mick_schumacher,1,14,15:26:23,19.039
ocon,1,17,15:30:30,19.128
max_verstappen,1,18,15:31:37,18.281
tsunoda,1,18,15:32:02,18.443
perez,1,20,15:34:33,17.434
norris,1,20,15:34:40,17.556
ricciardo,1,21,15:36:06,18.150
gasly,1,21,15:36:15,18.926
zhou,1,21,15:36:22,18.380
leclerc,1,22,15:37:04,17.973
hamilton,1,22,15:37:22,17.877
bottas,1,22,15:37:40,18.413
russell,1,23,15:38:51,18.479
stroll,3,23,15:39:30,20.402
latifi,2,23,15:40:00,17.936
alonso,1,39,16:05:24,18.796
kevin_magnussen,1,39,16:05:30,19.111
alonso,2,53,16:25:28,18.394
albon,1,57,16:30:33,19.845
