Driver ID,Stop,Lap,Time,Duration
perez,1,2,18:11:56,23.993
gasly,1,4,18:16:14,38.338
alonso,1,11,18:27:32,24.373
norris,1,12,18:29:05,24.899
leclerc,1,12,18:29:06,24.925
stroll,1,12,18:29:09,24.884
giovinazzi,1,12,18:29:14,31.998
hamilton,1,13,18:30:29,24.839
ricciardo,1,13,18:30:45,24.688
raikkonen,1,13,18:30:52,24.107
ocon,1,13,18:30:55,25.226
russell,1,13,18:31:02,24.621
latifi,1,14,18:32:44,26.046
mick_schumacher,1,14,18:32:58,25.798
sainz,1,15,18:34:04,24.353
tsunoda,1,15,18:34:12,25.046
bottas,1,16,18:35:24,24.262
max_verstappen,1,17,18:36:54,24.767
perez,2,19,18:40:35,24.105
gasly,2,19,18:41:17,24.317
vettel,1,24,18:49:08,24.626
hamilton,2,28,18:54:40,24.076
stroll,2,28,18:55:23,25.525
raikkonen,2,29,18:57:06,24.046
alonso,2,29,18:57:13,24.775
bottas,2,30,18:57:58,32.897
giovinazzi,2,30,18:58:53,24.223
ocon,2,31,19:00:29,24.471
leclerc,2,32,19:01:40,24.176
ricciardo,2,32,19:01:44,24.655
ocon,1,1,15:05:16,30.866
vettel,1,3,15:10:09,32.024
mick_schumacher,1,5,15:15:11,51.007
mazepin,1,12,15:27:20,31.168
gasly,1,14,15:30:10,31.068
vettel,2,20,15:39:11,31.184
mick_schumacher,2,21,15:41:24,32.479
vettel,3,22,15:42:52,39.502
mazepin,2,23,15:45:20,31.500
tsunoda,1,25,15:46:39,30.696
russell,1,26,15:47:53,29.983
raikkonen,1,26,15:47:55,30.280
max_verstappen,1,27,15:47:59,29.809
gasly,2,26,15:48:45,32.277
sainz,1,27,15:48:51,30.856
ricciardo,1,27,15:48:57,34.340
stroll,1,27,15:49:16,31.138
hamilton,1,28,15:49:27,32.112
giovinazzi,1,27,15:49:32,32.299
ocon,2,27,15:49:42,30.652
leclerc,1,28,15:49:43,31.002
perez,1,28,15:49:58,44.608
norris,1,28,15:50:11,30.654
bottas,1,28,15:50:46,30.167
alonso,1,28,15:51:18,30.864
hamilton,2,31,15:55:30,38.198
ocon,3,31,15:56:23,30.701
max_verstappen,2,33,15:58:11,27:01.361
stroll,2,32,15:58:13,24:52.090
raikkonen,2,32,15:58:16,24:52.612
bottas,1,2,15:06:11,21.377
hamilton,1,2,15:06:13,22.426
max_verstappen,1,2,15:06:14,22.718
sainz,1,2,15:06:16,22.029
perez,1,2,15:06:18,21.890
norris,1,2,15:06:19,21.407
ocon,1,2,15:06:21,21.275
leclerc,1,2,15:06:23,21.323
gasly,1,2,15:06:24,21.353
vettel,1,2,15:06:26,21.398
russell,1,2,15:06:27,23.532
giovinazzi,1,2,15:06:29,22.485
ricciardo,1,2,15:06:31,21.965
alonso,1,2,15:06:34,21.452
tsunoda,1,2,15:06:36,22.266
stroll,1,2,15:06:37,22.264
latifi,1,2,15:06:39,21.970
mick_schumacher,1,2,15:06:40,22.019
mazepin,1,2,15:06:42,21.372
bottas,2,3,15:08:34,22.072
hamilton,2,3,15:08:36,22.164
max_verstappen,2,3,15:08:37,22.104
sainz,2,3,15:08:38,22.244
perez,2,3,15:08:39,22.100
norris,2,3,15:08:40,22.551
ocon,2,3,15:08:42,22.240
leclerc,2,3,15:08:43,22.587
gasly,2,3,15:08:45,22.319
vettel,2,3,15:08:48,21.750
russell,2,3,15:08:48,22.755
giovinazzi,1,8,15:15:06,54.673
russell,1,9,15:17:07,23.814
latifi,1,9,15:17:10,26.672
gasly,1,18,15:30:37,28.042
alonso,1,21,15:34:51,22.043
vettel,1,21,15:34:52,23.087
sainz,1,22,15:36:10,21.779
stroll,1,22,15:36:15,21.756
mazepin,1,22,15:36:40,23.098
bottas,1,23,15:37:18,22.311
ocon,1,23,15:37:33,22.798
norris,1,23,15:37:35,21.864
mick_schumacher,1,23,15:37:59,24.006
max_verstappen,1,24,15:38:32,23.565
ricciardo,1,25,15:40:16,22.406
perez,1,27,15:43:06,22.382
latifi,2,27,15:43:32,21.424
hamilton,1,28,15:44:07,22.220
leclerc,1,28,15:44:20,21.613
russell,2,28,15:44:52,21.919
raikkonen,1,37,15:57:41,21.572
vettel,2,38,15:59:08,21.973
stroll,2,39,16:00:28,21.432
giovinazzi,2,39,16:00:52,22.871
hamilton,2,42,16:03:32,22.078
mazepin,2,42,16:05:36,22.502
ricciardo,2,46,16:09:49,21.762
sainz,2,46,16:09:50,21.856
gasly,2,47,16:11:47,26.065
latifi,3,50,16:16:19,22.405
hamilton,1,29,15:40:07,23.783
norris,1,30,15:41:20,23.874
gasly,1,30,15:41:23,24.428
vettel,1,31,15:42:42,24.369
russell,1,31,15:43:46,23.928
sainz,1,32,15:43:47,24.150
giovinazzi,1,33,15:45:42,24.521
max_verstappen,1,34,15:46:10,23.746
perez,1,35,15:47:44,24.548
mazepin,1,34,15:48:25,25.202
ricciardo,1,36,15:49:52,24.715
ocon,1,37,15:50:48,23.935
mick_schumacher,1,37,15:52:43,24.797
raikkonen,1,43,15:58:41,24.077
latifi,1,43,15:59:23,23.703
alonso,1,45,16:01:34,23.803
stroll,1,58,16:17:28,23.474
tsunoda,1,64,16:26:09,24.430
hamilton,2,67,16:28:48,24.244
russell,1,1,16:06:06,19.970
giovinazzi,1,2,16:07:56,20.402
alonso,1,7,16:16:54,20.168
norris,1,7,16:16:56,20.533
mick_schumacher,1,8,16:19:00,22.440
leclerc,1,9,16:20:20,19.836
tsunoda,1,9,16:20:28,20.253
latifi,1,9,16:20:47,22.149
mazepin,1,9,16:20:57,21.759
sainz,1,10,16:22:11,20.064
hamilton,1,11,16:23:50,22.470
gasly,1,11,16:23:55,20.156
bottas,1,11,16:24:08,20.356
ricciardo,1,11,16:24:12,20.082
max_verstappen,1,12,16:25:37,19.769
perez,1,13,16:27:25,21.874
raikkonen,1,13,16:27:59,20.048
vettel,1,18,16:36:33,19.841
